Date,Region,Category,Sales_Units
2025-04-06,South India,Groceries & Staples,171
2025-04-07,South India,Groceries & Staples,216
2025-04-08,South India,Groceries & Staples,182
2025-04-09,South India,Groceries & Staples,214
2025-04-10,South India,Groceries & Staples,206
2025-04-11,South India,Groceries & Staples,145
2025-04-12,South India,Groceries & Staples,196
2025-04-13,South India,Groceries & Staples,193
2025-04-14,South India,Groceries & Staples,183
2025-04-15,South India,Groceries & Staples,163
2025-04-16,South India,Groceries & Staples,190
2025-04-17,South India,Groceries & Staples,152
2025-04-18,South India,Groceries & Staples,175
2025-04-19,South India,Groceries & Staples,177
2025-04-20,South India,Groceries & Staples,213
2025-04-21,South India,Groceries & Staples,207
2025-04-22,South India,Groceries & Staples,163
2025-04-23,South India,Groceries & Staples,180
2025-04-24,South India,Groceries & Staples,157
2025-04-25,South India,Groceries & Staples,210
2025-04-26,South India,Groceries & Staples,207
2025-04-27,South India,Groceries & Staples,165
2025-04-28,South India,Groceries & Staples,190
2025-04-29,South India,Groceries & Staples,188
2025-04-30,South India,Groceries & Staples,155
2025-05-01,South India,Groceries & Staples,179
2025-05-02,South India,Groceries & Staples,165
2025-05-03,South India,Groceries & Staples,180
2025-05-04,South India,Groceries & Staples,164
2025-05-05,South India,Groceries & Staples,130
2025-05-06,South India,Groceries & Staples,151
2025-05-07,South India,Groceries & Staples,131
2025-05-08,South India,Groceries & Staples,190
2025-05-09,South India,Groceries & Staples,187
2025-05-10,South India,Groceries & Staples,183
2025-05-11,South India,Groceries & Staples,150
2025-05-12,South India,Groceries & Staples,133
2025-05-13,South India,Groceries & Staples,186
2025-05-14,South India,Groceries & Staples,191
2025-05-15,South India,Groceries & Staples,135
2025-05-16,South India,Groceries & Staples,161
2025-05-17,South India,Groceries & Staples,134
2025-05-18,South India,Groceries & Staples,179
2025-05-19,South India,Groceries & Staples,179
2025-05-20,South India,Groceries & Staples,138
2025-05-21,South India,Groceries & Staples,160
2025-05-22,South India,Groceries & Staples,165
2025-05-23,South India,Groceries & Staples,147
2025-05-24,South India,Groceries & Staples,186
2025-05-25,South India,Groceries & Staples,157
2025-05-26,South India,Groceries & Staples,143
2025-05-27,South India,Groceries & Staples,165
2025-05-28,South India,Groceries & Staples,177
2025-05-29,South India,Groceries & Staples,143
2025-05-30,South India,Groceries & Staples,150
2025-05-31,South India,Groceries & Staples,194
2025-06-01,South India,Groceries & Staples,162
2025-06-02,South India,Groceries & Staples,149
2025-06-03,South India,Groceries & Staples,154
2025-06-04,South India,Groceries & Staples,130
2025-06-05,South India,Groceries & Staples,136
2025-06-06,South India,Groceries & Staples,143
2025-06-07,South India,Groceries & Staples,158
2025-06-08,South India,Groceries & Staples,136
2025-06-09,South India,Groceries & Staples,136
2025-06-10,South India,Groceries & Staples,127
2025-06-11,South India,Groceries & Staples,161
2025-06-12,South India,Groceries & Staples,136
2025-06-13,South India,Groceries & Staples,178
2025-06-14,South India,Groceries & Staples,175
2025-06-15,South India,Groceries & Staples,127
2025-06-16,South India,Groceries & Staples,137
2025-06-17,South India,Groceries & Staples,163
2025-06-18,South India,Groceries & Staples,136
2025-06-19,South India,Groceries & Staples,130
2025-06-20,South India,Groceries & Staples,180
2025-06-21,South India,Groceries & Staples,157
2025-06-22,South India,Groceries & Staples,151
2025-06-23,South India,Groceries & Staples,170
2025-06-24,South India,Groceries & Staples,172
2025-06-25,South India,Groceries & Staples,134
2025-06-26,South India,Groceries & Staples,128
2025-06-27,South India,Groceries & Staples,149
2025-06-28,South India,Groceries & Staples,148
2025-06-29,South India,Groceries & Staples,151
2025-06-30,South India,Groceries & Staples,167
2025-07-01,South India,Groceries & Staples,183
2025-07-02,South India,Groceries & Staples,204
2025-07-03,South India,Groceries & Staples,144
2025-07-04,South India,Groceries & Staples,164
2025-07-05,South India,Groceries & Staples,160
2025-07-06,South India,Groceries & Staples,196
2025-07-07,South India,Groceries & Staples,154
2025-07-08,South India,Groceries & Staples,150
2025-07-09,South India,Groceries & Staples,167
2025-07-10,South India,Groceries & Staples,166
2025-07-11,South India,Groceries & Staples,156
2025-07-12,South India,Groceries & Staples,154
2025-07-13,South India,Groceries & Staples,200
2025-07-14,South India,Groceries & Staples,167
2025-07-15,South India,Groceries & Staples,196
2025-07-16,South India,Groceries & Staples,174
2025-07-17,South India,Groceries & Staples,140
2025-07-18,South India,Groceries & Staples,205
2025-07-19,South India,Groceries & Staples,194
2025-07-20,South India,Groceries & Staples,203
2025-07-21,South India,Groceries & Staples,200
2025-07-22,South India,Groceries & Staples,195
2025-07-23,South India,Groceries & Staples,148
2025-07-24,South India,Groceries & Staples,170
2025-07-25,South India,Groceries & Staples,151
2025-07-26,South India,Groceries & Staples,164
2025-07-27,South India,Groceries & Staples,141
2025-07-28,South India,Groceries & Staples,163
2025-07-29,South India,Groceries & Staples,204
2025-07-30,South India,Groceries & Staples,155
2025-07-31,South India,Groceries & Staples,190
2025-08-01,South India,Groceries & Staples,230
2025-08-02,South India,Groceries & Staples,227
2025-08-03,South India,Groceries & Staples,277
2025-08-04,South India,Groceries & Staples,280
2025-08-05,South India,Groceries & Staples,239
2025-08-06,South India,Groceries & Staples,254
2025-08-07,South India,Groceries & Staples,202
2025-08-08,South India,Groceries & Staples,215
2025-08-09,South India,Groceries & Staples,278
2025-08-10,South India,Groceries & Staples,241
2025-08-11,South India,Groceries & Staples,238
2025-08-12,South India,Groceries & Staples,257
2025-08-13,South India,Groceries & Staples,193
2025-08-14,South India,Groceries & Staples,242
2025-08-15,South India,Groceries & Staples,234
2025-08-16,South India,Groceries & Staples,267
2025-08-17,South India,Groceries & Staples,202
2025-08-18,South India,Groceries & Staples,277
2025-08-19,South India,Groceries & Staples,195
2025-08-20,South India,Groceries & Staples,205
2025-08-21,South India,Groceries & Staples,243
2025-08-22,South India,Groceries & Staples,250
2025-08-23,South India,Groceries & Staples,209
2025-08-24,South India,Groceries & Staples,198
2025-08-25,South India,Groceries & Staples,271
2025-08-26,South India,Groceries & Staples,210
2025-08-27,South India,Groceries & Staples,243
2025-08-28,South India,Groceries & Staples,245
2025-08-29,South India,Groceries & Staples,226
2025-08-30,South India,Groceries & Staples,242
2025-08-31,South India,Groceries & Staples,236
2025-09-01,South India,Groceries & Staples,243
2025-09-02,South India,Groceries & Staples,183
2025-09-03,South India,Groceries & Staples,225
2025-09-04,South India,Groceries & Staples,185
2025-09-05,South India,Groceries & Staples,198
2025-09-06,South India,Groceries & Staples,221
2025-09-07,South India,Groceries & Staples,190
2025-09-08,South India,Groceries & Staples,192
2025-09-09,South India,Groceries & Staples,228
2025-09-10,South India,Groceries & Staples,172
2025-09-11,South India,Groceries & Staples,204
2025-09-12,South India,Groceries & Staples,248
2025-09-13,South India,Groceries & Staples,248
2025-09-14,South India,Groceries & Staples,172
2025-09-15,South India,Groceries & Staples,183
2025-09-16,South India,Groceries & Staples,188
2025-09-17,South India,Groceries & Staples,243
2025-09-18,South India,Groceries & Staples,239
2025-09-19,South India,Groceries & Staples,238
2025-09-20,South India,Groceries & Staples,196
2025-09-21,South India,Groceries & Staples,179
2025-09-22,South India,Groceries & Staples,235
2025-09-23,South India,Groceries & Staples,224
2025-09-24,South India,Groceries & Staples,216
2025-09-25,South India,Groceries & Staples,247
2025-09-26,South India,Groceries & Staples,220
2025-09-27,South India,Groceries & Staples,166
2025-09-28,South India,Groceries & Staples,233
2025-09-29,South India,Groceries & Staples,190
2025-09-30,South India,Groceries & Staples,221
2025-10-01,South India,Groceries & Staples,296
2025-10-02,South India,Groceries & Staples,215
2025-10-03,South India,Groceries & Staples,213
2025-10-04,South India,Groceries & Staples,212
2025-10-05,South India,Groceries & Staples,257
2025-10-06,South India,Groceries & Staples,229
2025-10-07,South India,Groceries & Staples,263
2025-10-08,South India,Groceries & Staples,274
2025-10-09,South India,Groceries & Staples,222
2025-10-10,South India,Groceries & Staples,266
2025-10-11,South India,Groceries & Staples,228
2025-10-12,South India,Groceries & Staples,251
2025-10-13,South India,Groceries & Staples,293
2025-10-14,South India,Groceries & Staples,287
2025-10-15,South India,Groceries & Staples,211
2025-10-16,South India,Groceries & Staples,244
2025-10-17,South India,Groceries & Staples,229
2025-10-18,South India,Groceries & Staples,202
2025-10-19,South India,Groceries & Staples,279
2025-10-20,South India,Groceries & Staples,266
2025-10-21,South India,Groceries & Staples,228
2025-10-22,South India,Groceries & Staples,276
2025-10-23,South India,Groceries & Staples,257
2025-10-24,South India,Groceries & Staples,245
2025-10-25,South India,Groceries & Staples,203
2025-10-26,South India,Groceries & Staples,209
2025-10-27,South India,Groceries & Staples,291
2025-10-28,South India,Groceries & Staples,293
2025-10-29,South India,Groceries & Staples,257
2025-10-30,South India,Groceries & Staples,286
2025-10-31,South India,Groceries & Staples,260
2025-11-01,South India,Groceries & Staples,232
2025-11-02,South India,Groceries & Staples,230
2025-11-03,South India,Groceries & Staples,249
2025-11-04,South India,Groceries & Staples,313
2025-11-05,South India,Groceries & Staples,302
2025-11-06,South India,Groceries & Staples,309
2025-11-07,South India,Groceries & Staples,313
2025-11-08,South India,Groceries & Staples,239
2025-11-09,South India,Groceries & Staples,243
2025-11-10,South India,Groceries & Staples,227
2025-11-11,South India,Groceries & Staples,300
2025-11-12,South India,Groceries & Staples,311
2025-11-13,South India,Groceries & Staples,260
2025-11-14,South India,Groceries & Staples,283
2025-11-15,South India,Groceries & Staples,233
2025-11-16,South India,Groceries & Staples,316
2025-11-17,South India,Groceries & Staples,309
2025-11-18,South India,Groceries & Staples,321
2025-11-19,South India,Groceries & Staples,304
2025-11-20,South India,Groceries & Staples,311
2025-11-21,South India,Groceries & Staples,219
2025-11-22,South India,Groceries & Staples,296
2025-11-23,South India,Groceries & Staples,252
2025-11-24,South India,Groceries & Staples,317
2025-11-25,South India,Groceries & Staples,303
2025-11-26,South India,Groceries & Staples,309
2025-11-27,South India,Groceries & Staples,304
2025-11-28,South India,Groceries & Staples,245
2025-11-29,South India,Groceries & Staples,301
2025-11-30,South India,Groceries & Staples,228
2025-12-01,South India,Groceries & Staples,248
2025-12-02,South India,Groceries & Staples,247
2025-12-03,South India,Groceries & Staples,192
2025-12-04,South India,Groceries & Staples,243
2025-12-05,South India,Groceries & Staples,213
2025-12-06,South India,Groceries & Staples,199
2025-12-07,South India,Groceries & Staples,242
2025-12-08,South India,Groceries & Staples,192
2025-12-09,South India,Groceries & Staples,175
2025-12-10,South India,Groceries & Staples,189
2025-12-11,South India,Groceries & Staples,201
2025-12-12,South India,Groceries & Staples,247
2025-12-13,South India,Groceries & Staples,256
2025-12-14,South India,Groceries & Staples,197
2025-12-15,South India,Groceries & Staples,228
2025-12-16,South India,Groceries & Staples,207
2025-12-17,South India,Groceries & Staples,258
2025-12-18,South India,Groceries & Staples,219
2025-12-19,South India,Groceries & Staples,254
2025-12-20,South India,Groceries & Staples,183
2025-12-21,South India,Groceries & Staples,257
2025-12-22,South India,Groceries & Staples,188
2025-12-23,South India,Groceries & Staples,256
2025-12-24,South India,Groceries & Staples,196
2025-12-25,South India,Groceries & Staples,182
2025-12-26,South India,Groceries & Staples,210
2025-12-27,South India,Groceries & Staples,236
2025-12-28,South India,Groceries & Staples,200
2025-12-29,South India,Groceries & Staples,225
2025-12-30,South India,Groceries & Staples,217
2025-12-31,South India,Groceries & Staples,206
2025-01-01,South India,Fresh Produce,97
2025-01-02,South India,Fresh Produce,85
2025-01-03,South India,Fresh Produce,102
2025-01-04,South India,Fresh Produce,76
2025-01-05,South India,Fresh Produce,111
2025-01-06,South India,Fresh Produce,96
2025-01-07,South India,Fresh Produce,103
2025-01-08,South India,Fresh Produce,104
2025-01-09,South India,Fresh Produce,101
2025-01-10,South India,Fresh Produce,89
2025-01-11,South India,Fresh Produce,78
2025-01-12,South India,Fresh Produce,101
2025-01-13,South India,Fresh Produce,88
2025-01-14,South India,Fresh Produce,87
2025-01-15,South India,Fresh Produce,108
2025-01-16,South India,Fresh Produce,103
2025-01-17,South India,Fresh Produce,87
2025-01-18,South India,Fresh Produce,87
2025-01-19,South India,Fresh Produce,91
2025-01-20,South India,Fresh Produce,91
2025-01-21,South India,Fresh Produce,87
2025-01-22,South India,Fresh Produce,80
2025-01-23,South India,Fresh Produce,91
2025-01-24,South India,Fresh Produce,111
2025-01-25,South India,Fresh Produce,101
2025-01-26,South India,Fresh Produce,110
2025-01-27,South India,Fresh Produce,99
2025-01-28,South India,Fresh Produce,87
2025-01-29,South India,Fresh Produce,96
2025-01-30,South India,Fresh Produce,76
2025-01-31,South India,Fresh Produce,86
2025-02-01,South India,Fresh Produce,83
2025-02-02,South India,Fresh Produce,88
2025-02-03,South India,Fresh Produce,91
2025-02-04,South India,Fresh Produce,84
2025-02-05,South India,Fresh Produce,84
2025-02-06,South India,Fresh Produce,76
2025-02-07,South India,Fresh Produce,85
2025-02-08,South India,Fresh Produce,99
2025-02-09,South India,Fresh Produce,96
2025-02-10,South India,Fresh Produce,74
2025-02-11,South India,Fresh Produce,71
2025-02-12,South India,Fresh Produce,86
2025-02-13,South India,Fresh Produce,90
2025-02-14,South India,Fresh Produce,80
2025-02-15,South India,Fresh Produce,96
2025-02-16,South India,Fresh Produce,94
2025-02-17,South India,Fresh Produce,91
2025-02-18,South India,Fresh Produce,76
2025-02-19,South India,Fresh Produce,75
2025-02-20,South India,Fresh Produce,69
2025-02-21,South India,Fresh Produce,77
2025-02-22,South India,Fresh Produce,85
2025-02-23,South India,Fresh Produce,97
2025-02-24,South India,Fresh Produce,71
2025-02-25,South India,Fresh Produce,83
2025-02-26,South India,Fresh Produce,90
2025-02-27,South India,Fresh Produce,75
2025-02-28,South India,Fresh Produce,92
2025-03-01,South India,Fresh Produce,99
2025-03-02,South India,Fresh Produce,89
2025-03-03,South India,Fresh Produce,105
2025-03-04,South India,Fresh Produce,79
2025-03-05,South India,Fresh Produce,109
2025-03-06,South India,Fresh Produce,110
2025-03-07,South India,Fresh Produce,83
2025-03-08,South India,Fresh Produce,96
2025-03-09,South India,Fresh Produce,86
2025-03-10,South India,Fresh Produce,117
2025-03-11,South India,Fresh Produce,100
2025-03-12,South India,Fresh Produce,81
2025-03-13,South India,Fresh Produce,89
2025-03-14,South India,Fresh Produce,113
2025-03-15,South India,Fresh Produce,97
2025-03-16,South India,Fresh Produce,111
2025-03-17,South India,Fresh Produce,106
2025-03-18,South India,Fresh Produce,118
2025-03-19,South India,Fresh Produce,103
2025-03-20,South India,Fresh Produce,117
2025-03-21,South India,Fresh Produce,115
2025-03-22,South India,Fresh Produce,103
2025-03-23,South India,Fresh Produce,108
2025-03-24,South India,Fresh Produce,99
2025-03-25,South India,Fresh Produce,112
2025-03-26,South India,Fresh Produce,101
2025-03-27,South India,Fresh Produce,115
2025-03-28,South India,Fresh Produce,109
2025-03-29,South India,Fresh Produce,98
2025-03-30,South India,Fresh Produce,89
2025-03-31,South India,Fresh Produce,89
2025-04-01,South India,Fresh Produce,95
2025-04-02,South India,Fresh Produce,100
2025-04-03,South India,Fresh Produce,91
2025-04-04,South India,Fresh Produce,95
2025-04-05,South India,Fresh Produce,82
2025-04-06,South India,Fresh Produce,75
2025-04-07,South India,Fresh Produce,82
2025-04-08,South India,Fresh Produce,82
2025-04-09,South India,Fresh Produce,84
2025-04-10,South India,Fresh Produce,91
2025-04-11,South India,Fresh Produce,77
2025-04-12,South India,Fresh Produce,80
2025-04-13,South India,Fresh Produce,97
2025-04-14,South India,Fresh Produce,97
2025-04-15,South India,Fresh Produce,74
2025-04-16,South India,Fresh Produce,87
2025-04-17,South India,Fresh Produce,92
2025-04-18,South India,Fresh Produce,87
2025-04-19,South India,Fresh Produce,79
2025-04-20,South India,Fresh Produce,87
2025-04-21,South India,Fresh Produce,105
2025-04-22,South India,Fresh Produce,93
2025-04-23,South India,Fresh Produce,97
2025-04-24,South India,Fresh Produce,103
2025-04-25,South India,Fresh Produce,100
2025-04-26,South India,Fresh Produce,86
2025-04-27,South India,Fresh Produce,72
2025-04-28,South India,Fresh Produce,85
2025-04-29,South India,Fresh Produce,99
2025-04-30,South India,Fresh Produce,103
2025-05-01,South India,Fresh Produce,96
2025-05-02,South India,Fresh Produce,78
2025-05-03,South India,Fresh Produce,89
2025-05-04,South India,Fresh Produce,82
2025-05-05,South India,Fresh Produce,84
2025-05-06,South India,Fresh Produce,72
2025-05-07,South India,Fresh Produce,72
2025-05-08,South India,Fresh Produce,79
2025-05-09,South India,Fresh Produce,66
2025-05-10,South India,Fresh Produce,76
2025-05-11,South India,Fresh Produce,87
2025-05-12,South India,Fresh Produce,78
2025-05-13,South India,Fresh Produce,70
2025-05-14,South India,Fresh Produce,80
2025-05-15,South India,Fresh Produce,69
2025-05-16,South India,Fresh Produce,85
2025-05-17,South India,Fresh Produce,66
2025-05-18,South India,Fresh Produce,78
2025-05-19,South India,Fresh Produce,83
2025-05-20,South India,Fresh Produce,66
2025-05-21,South India,Fresh Produce,86
2025-05-22,South India,Fresh Produce,69
2025-05-23,South India,Fresh Produce,80
2025-05-24,South India,Fresh Produce,66
2025-05-25,South India,Fresh Produce,77
2025-05-26,South India,Fresh Produce,72
2025-05-27,South India,Fresh Produce,75
2025-05-28,South India,Fresh Produce,89
2025-05-29,South India,Fresh Produce,77
2025-05-30,South India,Fresh Produce,89
2025-05-31,South India,Fresh Produce,92
2025-06-01,South India,Fresh Produce,69
2025-06-02,South India,Fresh Produce,64
2025-06-03,South India,Fresh Produce,62
2025-06-04,South India,Fresh Produce,78
2025-06-05,South India,Fresh Produce,92
2025-06-06,South India,Fresh Produce,72
2025-06-07,South India,Fresh Produce,81
2025-06-08,South India,Fresh Produce,85
2025-06-09,South India,Fresh Produce,81
2025-06-10,South India,Fresh Produce,84
2025-06-11,South India,Fresh Produce,90
2025-06-12,South India,Fresh Produce,67
2025-06-13,South India,Fresh Produce,62
2025-06-14,South India,Fresh Produce,66
2025-06-15,South India,Fresh Produce,65
2025-06-16,South India,Fresh Produce,82
2025-06-17,South India,Fresh Produce,78
2025-06-18,South India,Fresh Produce,68
2025-06-19,South India,Fresh Produce,83
2025-06-20,South India,Fresh Produce,85
2025-06-21,South India,Fresh Produce,66
2025-06-22,South India,Fresh Produce,80
2025-06-23,South India,Fresh Produce,84
2025-06-24,South India,Fresh Produce,65
2025-06-25,South India,Fresh Produce,86
2025-06-26,South India,Fresh Produce,91
2025-06-27,South India,Fresh Produce,65
2025-06-28,South India,Fresh Produce,62
2025-06-29,South India,Fresh Produce,71
2025-06-30,South India,Fresh Produce,82
2025-07-01,South India,Fresh Produce,101
2025-07-02,South India,Fresh Produce,82
2025-07-03,South India,Fresh Produce,93
2025-07-04,South India,Fresh Produce,71
2025-07-05,South India,Fresh Produce,92
2025-07-06,South India,Fresh Produce,90
2025-07-07,South India,Fresh Produce,72
2025-07-08,South India,Fresh Produce,95
2025-07-09,South India,Fresh Produce,97
2025-07-10,South India,Fresh Produce,89
2025-07-11,South India,Fresh Produce,73
2025-07-12,South India,Fresh Produce,102
2025-07-13,South India,Fresh Produce,95
2025-07-14,South India,Fresh Produce,80
2025-07-15,South India,Fresh Produce,83
2025-07-16,South India,Fresh Produce,81
2025-07-17,South India,Fresh Produce,86
2025-07-18,South India,Fresh Produce,80
2025-07-19,South India,Fresh Produce,97
2025-07-20,South India,Fresh Produce,97
2025-07-21,South India,Fresh Produce,72
2025-07-22,South India,Fresh Produce,101
2025-07-23,South India,Fresh Produce,90
2025-07-24,South India,Fresh Produce,97
2025-07-25,South India,Fresh Produce,93
2025-07-26,South India,Fresh Produce,83
2025-07-27,South India,Fresh Produce,93
2025-07-28,South India,Fresh Produce,101
2025-07-29,South India,Fresh Produce,78
2025-07-30,South India,Fresh Produce,96
2025-07-31,South India,Fresh Produce,87
2025-08-01,South India,Fresh Produce,116
2025-08-02,South India,Fresh Produce,114
2025-08-03,South India,Fresh Produce,128
2025-08-04,South India,Fresh Produce,106
2025-08-05,South India,Fresh Produce,133
2025-08-06,South India,Fresh Produce,132
2025-08-07,South India,Fresh Produce,98
2025-08-08,South India,Fresh Produce,135
2025-08-09,South India,Fresh Produce,105
2025-08-10,South India,Fresh Produce,115
2025-08-11,South India,Fresh Produce,122
2025-08-12,South India,Fresh Produce,111
2025-08-13,South India,Fresh Produce,95
2025-08-14,South India,Fresh Produce,133
2025-08-15,South India,Fresh Produce,102
2025-08-16,South India,Fresh Produce,104
2025-08-17,South India,Fresh Produce,131
2025-08-18,South India,Fresh Produce,110
2025-08-19,South India,Fresh Produce,135
2025-08-20,South India,Fresh Produce,126
2025-08-21,South India,Fresh Produce,107
2025-08-22,South India,Fresh Produce,94
2025-08-23,South India,Fresh Produce,138
2025-08-24,South India,Fresh Produce,98
2025-08-25,South India,Fresh Produce,127
2025-08-26,South India,Fresh Produce,116
2025-08-27,South India,Fresh Produce,129
2025-08-28,South India,Fresh Produce,126
2025-08-29,South India,Fresh Produce,124
2025-08-30,South India,Fresh Produce,117
2025-08-31,South India,Fresh Produce,131
2025-09-01,South India,Fresh Produce,87
2025-09-02,South India,Fresh Produce,92
2025-09-03,South India,Fresh Produce,111
2025-09-04,South India,Fresh Produce,95
2025-09-05,South India,Fresh Produce,107
2025-09-06,South India,Fresh Produce,102
2025-09-07,South India,Fresh Produce,105
2025-09-08,South India,Fresh Produce,100
2025-09-09,South India,Fresh Produce,114
2025-09-10,South India,Fresh Produce,96
2025-09-11,South India,Fresh Produce,112
2025-09-12,South India,Fresh Produce,94
2025-09-13,South India,Fresh Produce,93
2025-09-14,South India,Fresh Produce,88
2025-09-15,South India,Fresh Produce,91
2025-09-16,South India,Fresh Produce,88
2025-09-17,South India,Fresh Produce,105
2025-09-18,South India,Fresh Produce,114
2025-09-19,South India,Fresh Produce,90
2025-09-20,South India,Fresh Produce,92
2025-09-21,South India,Fresh Produce,103
2025-09-22,South India,Fresh Produce,113
2025-09-23,South India,Fresh Produce,123
2025-09-24,South India,Fresh Produce,105
2025-09-25,South India,Fresh Produce,95
2025-09-26,South India,Fresh Produce,87
2025-09-27,South India,Fresh Produce,91
2025-09-28,South India,Fresh Produce,92
2025-09-29,South India,Fresh Produce,90
2025-09-30,South India,Fresh Produce,83
2025-10-01,South India,Fresh Produce,128
2025-10-02,South India,Fresh Produce,115
2025-10-03,South India,Fresh Produce,150
2025-10-04,South India,Fresh Produce,129
2025-10-05,South India,Fresh Produce,136
2025-10-06,South India,Fresh Produce,107
2025-10-07,South India,Fresh Produce,145
2025-10-08,South India,Fresh Produce,126
2025-10-09,South India,Fresh Produce,145
2025-10-10,South India,Fresh Produce,130
2025-10-11,South India,Fresh Produce,124
2025-10-12,South India,Fresh Produce,123
2025-10-13,South India,Fresh Produce,110
2025-10-14,South India,Fresh Produce,103
2025-10-15,South India,Fresh Produce,148
2025-10-16,South India,Fresh Produce,125
2025-10-17,South India,Fresh Produce,142
2025-10-18,South India,Fresh Produce,121
2025-10-19,South India,Fresh Produce,105
2025-10-20,South India,Fresh Produce,133
2025-10-21,South India,Fresh Produce,104
2025-10-22,South India,Fresh Produce,108
2025-10-23,South India,Fresh Produce,129
2025-10-24,South India,Fresh Produce,116
2025-10-25,South India,Fresh Produce,151
2025-10-26,South India,Fresh Produce,107
2025-10-27,South India,Fresh Produce,139
2025-10-28,South India,Fresh Produce,131
2025-10-29,South India,Fresh Produce,141
2025-10-30,South India,Fresh Produce,112
2025-10-31,South India,Fresh Produce,127
2025-11-01,South India,Fresh Produce,132
2025-11-02,South India,Fresh Produce,132
2025-11-03,South India,Fresh Produce,154
2025-11-04,South India,Fresh Produce,161
2025-11-05,South India,Fresh Produce,124
2025-11-06,South India,Fresh Produce,142
2025-11-07,South India,Fresh Produce,141
2025-11-08,South India,Fresh Produce,148
2025-11-09,South India,Fresh Produce,159
2025-11-10,South India,Fresh Produce,119
2025-11-11,South India,Fresh Produce,119
