Date,Category,Sales_Units
2025-01-12,Women's Western Wear,27
2025-01-12,Men's Casual Wear,38
2025-01-12,Festive & Party Wear,27
2025-01-12,Winter Wear,37
2025-01-12,Kids Wear,29
2025-01-12,Footwear,22
2025-01-12,Fashion Accessories,28
2025-01-12,Innerwear & Loungewear,23
2025-01-13,Traditional Assamese Wear,43
2025-01-13,Women's Ethnic Wear,59
2025-01-13,Women's Western Wear,17
2025-01-13,Men's Casual Wear,26
2025-01-13,Festive & Party Wear,24
2025-01-13,Winter Wear,48
2025-01-13,Kids Wear,12
2025-01-13,Footwear,21
2025-01-13,Fashion Accessories,21
2025-01-13,Innerwear & Loungewear,14
2025-01-14,Traditional Assamese Wear,57
2025-01-14,Women's Ethnic Wear,42
2025-01-14,Women's Western Wear,18
2025-01-14,Men's Casual Wear,25
2025-01-14,Festive & Party Wear,13
2025-01-14,Winter Wear,39
2025-01-14,Kids Wear,17
2025-01-14,Footwear,17
2025-01-14,Fashion Accessories,20
2025-01-14,Innerwear & Loungewear,9
2025-01-15,Traditional Assamese Wear,58
2025-01-15,Women's Ethnic Wear,45
2025-01-15,Women's Western Wear,19
2025-01-15,Men's Casual Wear,26
2025-01-15,Festive & Party Wear,15
2025-01-15,Winter Wear,45
2025-01-15,Kids Wear,17
2025-01-15,Footwear,25
2025-01-15,Fashion Accessories,18
2025-01-15,Innerwear & Loungewear,18
2025-01-16,Traditional Assamese Wear,59
2025-01-16,Women's Ethnic Wear,56
2025-01-16,Women's Western Wear,16
2025-01-16,Men's Casual Wear,32
2025-01-16,Festive & Party Wear,18
2025-01-16,Winter Wear,39
2025-01-16,Kids Wear,18
2025-01-16,Footwear,11
2025-01-16,Fashion Accessories,22
2025-01-16,Innerwear & Loungewear,19
2025-01-17,Traditional Assamese Wear,17
2025-01-17,Women's Ethnic Wear,31
2025-01-17,Women's Western Wear,21
2025-01-17,Men's Casual Wear,26
2025-01-17,Festive & Party Wear,12
2025-01-17,Winter Wear,32
2025-01-17,Kids Wear,23
2025-01-17,Footwear,17
2025-01-17,Fashion Accessories,14
2025-01-17,Innerwear & Loungewear,13
2025-01-18,Traditional Assamese Wear,20
2025-01-18,Women's Ethnic Wear,31
2025-01-18,Women's Western Wear,21
2025-01-18,Men's Casual Wear,24
2025-01-18,Festive & Party Wear,19
2025-01-18,Winter Wear,30
2025-01-18,Kids Wear,16
2025-01-18,Footwear,14
2025-01-18,Fashion Accessories,21
2025-01-18,Innerwear & Loungewear,22
2025-01-19,Traditional Assamese Wear,10
2025-01-19,Women's Ethnic Wear,33
2025-01-19,Women's Western Wear,22
2025-01-19,Men's Casual Wear,21
2025-01-19,Festive & Party Wear,15
2025-01-19,Winter Wear,31
2025-01-19,Kids Wear,21
2025-01-19,Footwear,19
2025-01-19,Fashion Accessories,14
2025-01-19,Innerwear & Loungewear,8
2025-01-20,Traditional Assamese Wear,14
2025-01-20,Women's Ethnic Wear,26
2025-01-20,Women's Western Wear,24
2025-01-20,Men's Casual Wear,18
2025-01-20,Festive & Party Wear,13
2025-01-20,Winter Wear,20
2025-01-20,Kids Wear,11
2025-01-20,Footwear,15
2025-01-20,Fashion Accessories,17
2025-01-20,Innerwear & Loungewear,9
2025-01-21,Traditional Assamese Wear,27
2025-01-21,Women's Ethnic Wear,23
2025-01-21,Women's Western Wear,22
2025-01-21,Men's Casual Wear,24
2025-01-21,Festive & Party Wear,7
2025-01-21,Winter Wear,20
2025-01-21,Kids Wear,27
2025-01-21,Footwear,10
2025-01-21,Fashion Accessories,13
2025-01-21,Innerwear & Loungewear,8
2025-01-22,Traditional Assamese Wear,27
2025-01-22,Women's Ethnic Wear,25
2025-01-22,Women's Western Wear,12
2025-01-22,Men's Casual Wear,22
2025-01-22,Festive & Party Wear,9
2025-01-22,Winter Wear,16
2025-01-22,Kids Wear,12
2025-01-22,Footwear,20
2025-01-22,Fashion Accessories,17
2025-01-22,Innerwear & Loungewear,17
2025-01-23,Traditional Assamese Wear,28
2025-01-23,Women's Ethnic Wear,27
2025-01-23,Women's Western Wear,20
2025-01-23,Men's Casual Wear,29
2025-01-23,Festive & Party Wear,13
2025-01-23,Winter Wear,28
2025-01-23,Kids Wear,17
2025-01-23,Footwear,12
2025-01-23,Fashion Accessories,10
2025-01-23,Innerwear & Loungewear,17
2025-01-24,Traditional Assamese Wear,18
2025-01-24,Women's Ethnic Wear,21
2025-01-24,Women's Western Wear,13
2025-01-24,Men's Casual Wear,26
2025-01-24,Festive & Party Wear,16
2025-01-24,Winter Wear,26
2025-01-24,Kids Wear,21
2025-01-24,Footwear,10
2025-01-24,Fashion Accessories,18
2025-01-24,Innerwear & Loungewear,10
2025-01-25,Traditional Assamese Wear,24
2025-01-25,Women's Ethnic Wear,30
2025-01-25,Women's Western Wear,29
2025-01-25,Men's Casual Wear,24
2025-01-25,Festive & Party Wear,17
2025-01-25,Winter Wear,26
2025-01-25,Kids Wear,28
2025-01-25,Footwear,30
2025-01-25,Fashion Accessories,19
2025-01-25,Innerwear & Loungewear,13
2025-01-26,Traditional Assamese Wear,32
2025-01-26,Women's Ethnic Wear,23
2025-01-26,Women's Western Wear,19
2025-01-26,Men's Casual Wear,15
2025-01-26,Festive & Party Wear,18
2025-01-26,Winter Wear,18
2025-01-26,Kids Wear,30
2025-01-26,Footwear,17
2025-01-26,Fashion Accessories,18
2025-01-26,Innerwear & Loungewear,12
2025-01-27,Traditional Assamese Wear,26
2025-01-27,Women's Ethnic Wear,20
2025-01-27,Women's Western Wear,22
2025-01-27,Men's Casual Wear,36
2025-01-27,Festive & Party Wear,6
2025-01-27,Winter Wear,15
2025-01-27,Kids Wear,13
2025-01-27,Footwear,23
2025-01-27,Fashion Accessories,12
2025-01-27,Innerwear & Loungewear,17
2025-01-28,Traditional Assamese Wear,27
2025-01-28,Women's Ethnic Wear,19
2025-01-28,Women's Western Wear,14
2025-01-28,Men's Casual Wear,17
2025-01-28,Festive & Party Wear,20
2025-01-28,Winter Wear,23
2025-01-28,Kids Wear,20
2025-01-28,Footwear,11
2025-01-28,Fashion Accessories,22
2025-01-28,Innerwear & Loungewear,18
2025-01-29,Traditional Assamese Wear,23
2025-01-29,Women's Ethnic Wear,17
2025-01-29,Women's Western Wear,14
2025-01-29,Men's Casual Wear,33
2025-01-29,Festive & Party Wear,11
2025-01-29,Winter Wear,20
2025-01-29,Kids Wear,10
2025-01-29,Footwear,23
2025-01-29,Fashion Accessories,18
2025-01-29,Innerwear & Loungewear,25
2025-01-30,Traditional Assamese Wear,26
2025-01-30,Women's Ethnic Wear,30
2025-01-30,Women's Western Wear,24
2025-01-30,Men's Casual Wear,23
2025-01-30,Festive & Party Wear,16
2025-01-30,Winter Wear,21
2025-01-30,Kids Wear,12
2025-01-30,Footwear,14
2025-01-30,Fashion Accessories,14
2025-01-30,Innerwear & Loungewear,20
2025-01-31,Traditional Assamese Wear,28
2025-01-31,Women's Ethnic Wear,32
2025-01-31,Women's Western Wear,21
2025-01-31,Men's Casual Wear,28
2025-01-31,Festive & Party Wear,13
2025-01-31,Winter Wear,30
2025-01-31,Kids Wear,21
2025-01-31,Footwear,12
2025-01-31,Fashion Accessories,15
2025-01-31,Innerwear & Loungewear,13
2025-02-01,Traditional Assamese Wear,10
2025-02-01,Women's Ethnic Wear,13
2025-02-01,Women's Western Wear,14
2025-02-01,Men's Casual Wear,31
2025-02-01,Festive & Party Wear,5
2025-02-01,Winter Wear,22
2025-02-01,Kids Wear,10
2025-02-01,Footwear,17
2025-02-01,Fashion Accessories,16
2025-02-01,Innerwear & Loungewear,17
2025-02-02,Traditional Assamese Wear,15
2025-02-02,Women's Ethnic Wear,21
2025-02-02,Women's Western Wear,28
2025-02-02,Men's Casual Wear,17
2025-02-02,Festive & Party Wear,4
2025-02-02,Winter Wear,17
2025-02-02,Kids Wear,18
2025-02-02,Footwear,22
2025-02-02,Fashion Accessories,8
2025-02-02,Innerwear & Loungewear,15
2025-02-03,Traditional Assamese Wear,7
2025-02-03,Women's Ethnic Wear,12
2025-02-03,Women's Western Wear,19
2025-02-03,Men's Casual Wear,27
2025-02-03,Festive & Party Wear,7
2025-02-03,Winter Wear,15
2025-02-03,Kids Wear,12
2025-02-03,Footwear,12
2025-02-03,Fashion Accessories,13
2025-02-03,Innerwear & Loungewear,16
2025-02-04,Traditional Assamese Wear,12
2025-02-04,Women's Ethnic Wear,17
2025-02-04,Women's Western Wear,9
2025-02-04,Men's Casual Wear,20
2025-02-04,Festive & Party Wear,6
2025-02-04,Winter Wear,6
2025-02-04,Kids Wear,15
2025-02-04,Footwear,21
2025-02-04,Fashion Accessories,6
2025-02-04,Innerwear & Loungewear,16
2025-02-05,Traditional Assamese Wear,4
2025-02-05,Women's Ethnic Wear,29
2025-02-05,Women's Western Wear,19
2025-02-05,Men's Casual Wear,15
2025-02-05,Festive & Party Wear,6
2025-02-05,Winter Wear,14
2025-02-05,Kids Wear,21
2025-02-05,Footwear,12
2025-02-05,Fashion Accessories,14
2025-02-05,Innerwear & Loungewear,11
2025-02-06,Traditional Assamese Wear,9
2025-02-06,Women's Ethnic Wear,15
2025-02-06,Women's Western Wear,15
2025-02-06,Men's Casual Wear,26
2025-02-06,Festive & Party Wear,17
2025-02-06,Winter Wear,18
2025-02-06,Kids Wear,16
2025-02-06,Footwear,15
2025-02-06,Fashion Accessories,17
2025-02-06,Innerwear & Loungewear,13
2025-02-07,Traditional Assamese Wear,8
2025-02-07,Women's Ethnic Wear,11
2025-02-07,Women's Western Wear,18
2025-02-07,Men's Casual Wear,25
2025-02-07,Festive & Party Wear,8
2025-02-07,Winter Wear,20
2025-02-07,Kids Wear,17
2025-02-07,Footwear,14
2025-02-07,Fashion Accessories,11
2025-02-07,Innerwear & Loungewear,22
2025-02-08,Traditional Assamese Wear,25
2025-02-08,Women's Ethnic Wear,29
2025-02-08,Women's Western Wear,19
2025-02-08,Men's Casual Wear,22
2025-02-08,Festive & Party Wear,16
2025-02-08,Winter Wear,25
2025-02-08,Kids Wear,23
2025-02-08,Footwear,17
2025-02-08,Fashion Accessories,11
2025-02-08,Innerwear & Loungewear,28
2025-02-09,Traditional Assamese Wear,16
2025-02-09,Women's Ethnic Wear,16
2025-02-09,Women's Western Wear,22
2025-02-09,Men's Casual Wear,32
2025-02-09,Festive & Party Wear,9
2025-02-09,Winter Wear,15
2025-02-09,Kids Wear,8
2025-02-09,Footwear,12
2025-02-09,Fashion Accessories,16
2025-02-09,Innerwear & Loungewear,21
2025-02-10,Traditional Assamese Wear,9
2025-02-10,Women's Ethnic Wear,21
2025-02-10,Women's Western Wear,14
2025-02-10,Men's Casual Wear,31
2025-02-10,Festive & Party Wear,8
2025-02-10,Winter Wear,10
2025-02-10,Kids Wear,19
2025-02-10,Footwear,17
2025-02-10,Fashion Accessories,11
2025-02-10,Innerwear & Loungewear,24
2025-02-11,Traditional Assamese Wear,14
2025-02-11,Women's Ethnic Wear,15
2025-02-11,Women's Western Wear,9
2025-02-11,Men's Casual Wear,18
2025-02-11,Festive & Party Wear,7
2025-02-11,Winter Wear,16
2025-02-11,Kids Wear,12
2025-02-11,Footwear,16
2025-02-11,Fashion Accessories,15
2025-02-11,Innerwear & Loungewear,10
2025-02-12,Traditional Assamese Wear,11
2025-02-12,Women's Ethnic Wear,17
2025-02-12,Women's Western Wear,13
2025-02-12,Men's Casual Wear,22
2025-02-12,Festive & Party Wear,11
2025-02-12,Winter Wear,13
2025-02-12,Kids Wear,15
2025-02-12,Footwear,15
2025-02-12,Fashion Accessories,16
2025-02-12,Innerwear & Loungewear,12
2025-02-13,Traditional Assamese Wear,9
2025-02-13,Women's Ethnic Wear,15
2025-02-13,Women's Western Wear,26
2025-02-13,Men's Casual Wear,22
2025-02-13,Festive & Party Wear,11
2025-02-13,Winter Wear,20
2025-02-13,Kids Wear,19
2025-02-13,Footwear,6
2025-02-13,Fashion Accessories,18
2025-02-13,Innerwear & Loungewear,17
2025-02-14,Traditional Assamese Wear,9
2025-02-14,Women's Ethnic Wear,22
2025-02-14,Women's Western Wear,17
2025-02-14,Men's Casual Wear,32
2025-02-14,Festive & Party Wear,10
2025-02-14,Winter Wear,17
2025-02-14,Kids Wear,13
2025-02-14,Footwear,16
2025-02-14,Fashion Accessories,11
2025-02-14,Innerwear & Loungewear,18
2025-02-15,Traditional Assamese Wear,19
2025-02-15,Women's Ethnic Wear,28
2025-02-15,Women's Western Wear,23
2025-02-15,Men's Casual Wear,37
2025-02-15,Festive & Party Wear,16
2025-02-15,Winter Wear,20
2025-02-15,Kids Wear,11
2025-02-15,Footwear,18
2025-02-15,Fashion Accessories,12
2025-02-15,Innerwear & Loungewear,16
2025-02-16,Traditional Assamese Wear,11
2025-02-16,Women's Ethnic Wear,23
2025-02-16,Women's Western Wear,25
2025-02-16,Men's Casual Wear,28
2025-02-16,Festive & Party Wear,9
2025-02-16,Winter Wear,25
2025-02-16,Kids Wear,25
2025-02-16,Footwear,20
2025-02-16,Fashion Accessories,20
2025-02-16,Innerwear & Loungewear,16
2025-02-17,Traditional Assamese Wear,9
2025-02-17,Women's Ethnic Wear,13
2025-02-17,Women's Western Wear,8
2025-02-17,Men's Casual Wear,20
2025-02-17,Festive & Party Wear,10
2025-02-17,Winter Wear,22
2025-02-17,Kids Wear,19
2025-02-17,Footwear,12
2025-02-17,Fashion Accessories,17
2025-02-17,Innerwear & Loungewear,10
2025-02-18,Traditional Assamese Wear,13
2025-02-18,Women's Ethnic Wear,20
2025-02-18,Women's Western Wear,9
2025-02-18,Men's Casual Wear,13
2025-02-18,Festive & Party Wear,13
2025-02-18,Winter Wear,15
2025-02-18,Kids Wear,14
2025-02-18,Footwear,10
2025-02-18,Fashion Accessories,9
2025-02-18,Innerwear & Loungewear,16
2025-02-19,Traditional Assamese Wear,11
2025-02-19,Women's Ethnic Wear,17
2025-02-19,Women's Western Wear,20
2025-02-19,Men's Casual Wear,19
2025-02-19,Festive & Party Wear,13
2025-02-19,Winter Wear,13
2025-02-19,Kids Wear,21
2025-02-19,Footwear,15
2025-02-19,Fashion Accessories,11
2025-02-19,Innerwear & Loungewear,12
2025-02-20,Traditional Assamese Wear,13
2025-02-20,Women's Ethnic Wear,15
2025-02-20,Women's Western Wear,19
2025-02-20,Men's Casual Wear,32
2025-02-20,Festive & Party Wear,11
2025-02-20,Winter Wear,16
2025-02-20,Kids Wear,13
2025-02-20,Footwear,20
2025-02-20,Fashion Accessories,15
2025-02-20,Innerwear & Loungewear,3
2025-02-21,Traditional Assamese Wear,9
2025-02-21,Women's Ethnic Wear,25
2025-02-21,Women's Western Wear,31
2025-02-21,Men's Casual Wear,26
2025-02-21,Festive & Party Wear,11
2025-02-21,Winter Wear,15
2025-02-21,Kids Wear,17
2025-02-21,Footwear,18
2025-02-21,Fashion Accessories,11
2025-02-21,Innerwear & Loungewear,8
2025-02-22,Traditional Assamese Wear,10
2025-02-22,Women's Ethnic Wear,30
2025-02-22,Women's Western Wear,23
2025-02-22,Men's Casual Wear,23
2025-02-22,Festive & Party Wear,6
2025-02-22,Winter Wear,12
2025-02-22,Kids Wear,7
2025-02-22,Footwear,17
2025-02-22,Fashion Accessories,13
2025-02-22,Innerwear & Loungewear,18
2025-02-23,Traditional Assamese Wear,10
2025-02-23,Women's Ethnic Wear,18
2025-02-23,Women's Western Wear,17
2025-02-23,Men's Casual Wear,26
2025-02-23,Festive & Party Wear,23
2025-02-23,Winter Wear,18
2025-02-23,Kids Wear,14
2025-02-23,Footwear,18
2025-02-23,Fashion Accessories,16
2025-02-23,Innerwear & Loungewear,25
2025-02-24,Traditional Assamese Wear,11
2025-02-24,Women's Ethnic Wear,13
2025-02-24,Women's Western Wear,21
2025-02-24,Men's Casual Wear,20
2025-02-24,Festive & Party Wear,6
2025-02-24,Winter Wear,8
2025-02-24,Kids Wear,15
2025-02-24,Footwear,8
2025-02-24,Fashion Accessories,8
2025-02-24,Innerwear & Loungewear,19
2025-02-25,Traditional Assamese Wear,6
2025-02-25,Women's Ethnic Wear,14
2025-02-25,Women's Western Wear,17
2025-02-25,Men's Casual Wear,33
2025-02-25,Festive & Party Wear,13
2025-02-25,Winter Wear,19
2025-02-25,Kids Wear,8
2025-02-25,Footwear,7
2025-02-25,Fashion Accessories,13
2025-02-25,Innerwear & Loungewear,12
2025-02-26,Traditional Assamese Wear,11
2025-02-26,Women's Ethnic Wear,15
2025-02-26,Women's Western Wear,18
2025-02-26,Men's Casual Wear,30
2025-02-26,Festive & Party Wear,16
2025-02-26,Winter Wear,13
2025-02-26,Kids Wear,12
2025-02-26,Footwear,20
2025-02-26,Fashion Accessories,12
2025-02-26,Innerwear & Loungewear,10
2025-02-27,Traditional Assamese Wear,13
2025-02-27,Women's Ethnic Wear,18
2025-02-27,Women's Western Wear,29
2025-02-27,Men's Casual Wear,28
2025-02-27,Festive & Party Wear,6
2025-02-27,Winter Wear,15
2025-02-27,Kids Wear,21
2025-02-27,Footwear,12
2025-02-27,Fashion Accessories,19
2025-02-27,Innerwear & Loungewear,13
2025-02-28,Traditional Assamese Wear,9
2025-02-28,Women's Ethnic Wear,20
2025-02-28,Women's Western Wear,24
2025-02-28,Men's Casual Wear,36
2025-02-28,Festive & Party Wear,10
2025-02-28,Winter Wear,20
2025-02-28,Kids Wear,16
2025-02-28,Footwear,17
2025-02-28,Fashion Accessories,18
2025-02-28,Innerwear & Loungewear,13
2025-03-01,Traditional Assamese Wear,14
2025-03-01,Women's Ethnic Wear,22
2025-03-01,Women's Western Wear,13
2025-03-01,Men's Casual Wear,41
2025-03-01,Festive & Party Wear,12
2025-03-01,Winter Wear,9
2025-03-01,Kids Wear,24
2025-03-01,Footwear,7
2025-03-01,Fashion Accessories,11
2025-03-01,Innerwear & Loungewear,8
2025-03-02,Traditional Assamese Wear,12
2025-03-02,Women's Ethnic Wear,26
2025-03-02,Women's Western Wear,22
2025-03-02,Men's Casual Wear,16
2025-03-02,Festive & Party Wear,10
2025-03-02,Winter Wear,5
2025-03-02,Kids Wear,23
2025-03-02,Footwear,18
2025-03-02,Fashion Accessories,15
2025-03-02,Innerwear & Loungewear,16
2025-03-03,Traditional Assamese Wear,12
2025-03-03,Women's Ethnic Wear,16
2025-03-03,Women's Western Wear,17
2025-03-03,Men's Casual Wear,18
2025-03-03,Festive & Party Wear,6
2025-03-03,Winter Wear,6
2025-03-03,Kids Wear,8
2025-03-03,Footwear,18
2025-03-03,Fashion Accessories,19
2025-03-03,Innerwear & Loungewear,11
2025-03-04,Traditional Assamese Wear,18
2025-03-04,Women's Ethnic Wear,15
2025-03-04,Women's Western Wear,17
2025-03-04,Men's Casual Wear,14
2025-03-04,Festive & Party Wear,13
2025-03-04,Winter Wear,8
2025-03-04,Kids Wear,16
2025-03-04,Footwear,18
2025-03-04,Fashion Accessories,15
2025-03-04,Innerwear & Loungewear,7
2025-03-05,Traditional Assamese Wear,5
2025-03-05,Women's Ethnic Wear,16
2025-03-05,Women's Western Wear,18
2025-03-05,Men's Casual Wear,18
2025-03-05,Festive & Party Wear,7
2025-03-05,Winter Wear,7
2025-03-05,Kids Wear,21
2025-03-05,Footwear,12
2025-03-05,Fashion Accessories,16
2025-03-05,Innerwear & Loungewear,22
2025-03-06,Traditional Assamese Wear,11
2025-03-06,Women's Ethnic Wear,9
2025-03-06,Women's Western Wear,13
2025-03-06,Men's Casual Wear,17
2025-03-06,Festive & Party Wear,10
2025-03-06,Winter Wear,8
2025-03-06,Kids Wear,21
2025-03-06,Footwear,18
2025-03-06,Fashion Accessories,14
2025-03-06,Innerwear & Loungewear,26
2025-03-07,Traditional Assamese Wear,10
2025-03-07,Women's Ethnic Wear,21
2025-03-07,Women's Western Wear,20
2025-03-07,Men's Casual Wear,27
2025-03-07,Festive & Party Wear,13
2025-03-07,Winter Wear,4
2025-03-07,Kids Wear,17
2025-03-07,Footwear,24
2025-03-07,Fashion Accessories,10
2025-03-07,Innerwear & Loungewear,15
2025-03-08,Traditional Assamese Wear,12
2025-03-08,Women's Ethnic Wear,29
2025-03-08,Women's Western Wear,35
2025-03-08,Men's Casual Wear,26
2025-03-08,Festive & Party Wear,16
2025-03-08,Winter Wear,16
2025-03-08,Kids Wear,22
2025-03-08,Footwear,19
2025-03-08,Fashion Accessories,14
2025-03-08,Innerwear & Loungewear,19
2025-03-09,Traditional Assamese Wear,11
2025-03-09,Women's Ethnic Wear,19
2025-03-09,Women's Western Wear,24
2025-03-09,Men's Casual Wear,35
2025-03-09,Festive & Party Wear,13
2025-03-09,Winter Wear,10
2025-03-09,Kids Wear,15
2025-03-09,Footwear,21
2025-03-09,Fashion Accessories,21
2025-03-09,Innerwear & Loungewear,13
2025-03-10,Traditional Assamese Wear,10
2025-03-10,Women's Ethnic Wear,18
2025-03-10,Women's Western Wear,22
2025-03-10,Men's Casual Wear,16
2025-03-10,Festive & Party Wear,12
2025-03-10,Winter Wear,8
2025-03-10,Kids Wear,18
2025-03-10,Footwear,15
2025-03-10,Fashion Accessories,12
2025-03-10,Innerwear & Loungewear,13
2025-03-11,Traditional Assamese Wear,15
2025-03-11,Women's Ethnic Wear,18
2025-03-11,Women's Western Wear,18
2025-03-11,Men's Casual Wear,24
2025-03-11,Festive & Party Wear,5
2025-03-11,Winter Wear,7
2025-03-11,Kids Wear,13
2025-03-11,Footwear,10
2025-03-11,Fashion Accessories,11
2025-03-11,Innerwear & Loungewear,14
2025-03-12,Traditional Assamese Wear,6
2025-03-12,Women's Ethnic Wear,29
2025-03-12,Women's Western Wear,15
2025-03-12,Men's Casual Wear,20
2025-03-12,Festive & Party Wear,8
2025-03-12,Winter Wear,10
2025-03-12,Kids Wear,15
2025-03-12,Footwear,19
2025-03-12,Fashion Accessories,19
2025-03-12,Innerwear & Loungewear,10
2025-03-13,Traditional Assamese Wear,15
2025-03-13,Women's Ethnic Wear,20
2025-03-13,Women's Western Wear,21
2025-03-13,Men's Casual Wear,24
2025-03-13,Festive & Party Wear,12
2025-03-13,Winter Wear,13
2025-03-13,Kids Wear,20
2025-03-13,Footwear,16
2025-03-13,Fashion Accessories,16
2025-03-13,Innerwear & Loungewear,18
2025-03-14,Traditional Assamese Wear,19
2025-03-14,Women's Ethnic Wear,26
2025-03-14,Women's Western Wear,24
2025-03-14,Men's Casual Wear,22
2025-03-14,Festive & Party Wear,11
2025-03-14,Winter Wear,4
2025-03-14,Kids Wear,10
2025-03-14,Footwear,21
2025-03-14,Fashion Accessories,25
2025-03-14,Innerwear & Loungewear,17
2025-03-15,Traditional Assamese Wear,12
2025-03-15,Women's Ethnic Wear,21
2025-03-15,Women's Western Wear,25
2025-03-15,Men's Casual Wear,25
2025-03-15,Festive & Party Wear,9
2025-03-15,Winter Wear,7
2025-03-15,Kids Wear,18
2025-03-15,Footwear,17
2025-03-15,Fashion Accessories,12
2025-03-15,Innerwear & Loungewear,19
2025-03-16,Traditional Assamese Wear,6
2025-03-16,Women's Ethnic Wear,26
2025-03-16,Women's Western Wear,23
2025-03-16,Men's Casual Wear,21
2025-03-16,Festive & Party Wear,17
2025-03-16,Winter Wear,6
2025-03-16,Kids Wear,17
2025-03-16,Footwear,18
2025-03-16,Fashion Accessories,19
2025-03-16,Innerwear & Loungewear,24
2025-03-17,Traditional Assamese Wear,9
2025-03-17,Women's Ethnic Wear,19
2025-03-17,Women's Western Wear,14
2025-03-17,Men's Casual Wear,21
2025-03-17,Festive & Party Wear,9
2025-03-17,Winter Wear,10
2025-03-17,Kids Wear,17
2025-03-17,Footwear,12
2025-03-17,Fashion Accessories,19
2025-03-17,Innerwear & Loungewear,16
2025-03-18,Traditional Assamese Wear,13
2025-03-18,Women's Ethnic Wear,13
2025-03-18,Women's Western Wear,27
