Store,Region,Product_Category,Avg_Daily_Demand,Std_Daily_Demand,Safety_Stock,Reorder_Point,Current_Inventory,Days_Of_Supply,Stockout_Risk,Inventory_Position,Action,Priority_Score,Target_Level,Recommended_Order_Qty,Days_Until_Stockout
113,Kerala,Footwear & Shoes,6188.919,952.6392,4158.737,47481.17,82966.98065102921,13.405730691281484,0.0,1.7473659695207429,OK,0.0,134126.036,51159,13.4
114,Kerala,Home Decor,6146.612,521.87305,2278.2312,45304.51,67442.04624100089,10.97223124795155,0.0,1.488638686104339,OK,0.0,131357.0832,63915,11.0
115,Kerala,Games & Toys,6224.0225,589.9842,2575.5698,46143.727,40932.4428729487,6.576525571661128,0.1129359086872363,0.8870640829022913,MONITOR,14.3,133280.0423,92348,6.6
116,Kerala,Sports Products,7988.0557,3113.8867,13593.64,69510.03,84076.35596649937,10.52525914970158,0.0,1.2095571814096377,OK,0.0,181342.80969999998,97266,10.5
117,Kerala,Tupperware,3972.7153,901.2245,3934.2861,31743.293,18037.14691574721,4.540256577237517,0.4317808510445322,0.5682191483960788,REORDER SOON,47.5,87361.30739999999,69324,4.5
118,Kerala,Furniture,6582.599,271.92682,1187.0936,47265.29,31287.844752910903,4.75311410847577,0.3380375879741631,0.6619623988959108,REORDER SOON,37.9,139421.6726,108134,4.8
119,Kerala,Pet Care,6697.138,324.2962,1415.7117,48295.68,45696.930809510326,6.8233519388111095,0.0538091376869531,0.946190856190664,MONITOR,8.3,142055.6097,96359,6.8
120,Kerala,Food,6091.8467,522.0288,2278.9114,44921.836,52846.08363264136,8.67488733898212,0.0,1.1764007960992815,MONITOR,0.0,130207.6921,77362,8.7
121,Kerala,Clothing & Apparel,5677.0464,548.92334,2396.319,42135.645,47566.33840809562,8.378712303527305,0.0,1.1288859683551924,MONITOR,0.0,121614.29340000001,74048,8.4
122,Kerala,Electronics & Gadgets,6141.639,1345.8201,5875.163,48866.637,79389.5038746309,12.926435729026313,0.0,1.6246156631288315,OK,0.0,134849.582,55460,12.9
123,Kerala,Footwear & Shoes,6947.5845,1425.769,6224.1797,54857.27,58166.35252601667,8.372169169722682,0.0,1.0603216770724586,MONITOR,0.0,152123.4542,93957,8.4
124,Kerala,Home Decor,5518.814,2974.831,12986.594,51618.293,47683.506415003736,8.640172819515174,0.0762285292178957,0.9237714702228479,MONITOR,9.9,128881.68800000001,81198,8.6
125,Kerala,Games & Toys,11947.017,1982.5713,8654.895,92284.016,142182.50604064047,11.901088847741704,0.0,1.5407056628380853,OK,0.0,259542.25199999998,117360,11.9
126,Kerala,Sports Products,6026.152,429.53403,1875.1263,44058.188,42598.65685205934,7.068965049959858,0.0331273420619188,0.9668726469654026,MONITOR,6.1,128424.3183,85826,7.1
127,Kerala,Tupperware,5728.914,564.2075,2463.042,42565.44,34561.43115342666,6.032806702348166,0.1880401092621605,0.8119599175628551,WATCHLIST,22.1,122770.23599999999,88209,6.0
128,Kerala,Furniture,6409.4233,717.4136,3131.8616,47997.83,65901.36072596026,10.281948504834885,0.0,1.373007086486207,OK,0.0,137729.7509,71828,10.3
129,Kerala,Pet Care,6149.412,536.1903,2340.7332,45386.617,15766.1823151084,2.5638519641694346,0.6526248640656438,0.34737513736942327,REORDER NOW,72.8,131478.3852,115712,2.6
130,Kerala,Food,5774.5205,489.89795,2138.6443,42560.29,64525.80595931886,11.174227517595652,0.0,1.5161035312334306,OK,0.0,123403.57479999999,58878,11.2
131,Kerala,Clothing & Apparel,6428.813,4070.8037,17771.05,62772.742,116740.43672002346,18.15894115022844,0.0,1.859731357920026,OK,0.0,152776.123,36036,18.2
132,Kerala,Electronics & Gadgets,5784.0596,531.4963,2320.2415,42808.66,56297.56393516754,9.733226854046023,0.0,1.3150975511769707,OK,0.0,123785.49309999999,67488,9.7
133,Kerala,Footwear & Shoes,5389.0376,863.3752,3769.0554,41492.316,19344.244408501523,3.589554546235592,0.5337873109058887,0.4662126936587855,REORDER NOW,58.8,116938.84499999999,97595,3.6
134,Kerala,Home Decor,5994.606,3098.1892,13525.112,55487.355,67002.61176027333,11.17715029820834,0.0,1.207529386835493,OK,0.0,139411.838,72409,11.2
135,Kerala,Games & Toys,6221.7266,576.822,2518.1106,46070.195,56063.66896947338,9.01095032163323,0.0,1.2169184213236646,OK,0.0,133174.36920000002,77111,9.0
136,Kerala,Sports Products,5569.0166,598.9185,2614.5725,41597.69,45230.03241361159,8.121726985141576,0.0,1.0873207722258516,MONITOR,0.0,119563.92109999999,74334,8.1
137,Kerala,Tupperware,6254.285,515.4385,2250.141,46030.137,59635.35205676581,9.535118813246198,0.0,1.2955719001393762,OK,0.0,133590.126,73955,9.5
138,Kerala,Furniture,6215.548,1677.725,7324.0903,50832.926,43127.041285283005,6.9385744129443845,0.1515923857919929,0.8484076105570434,WATCHLIST,18.0,137850.5983,94724,6.9
139,Kerala,Pet Care,6067.7266,514.5964,2246.465,44720.55,39181.0858867439,6.457292609210898,0.1238684407444425,0.8761315745612229,MONITOR,15.4,129668.7236,90488,6.5
140,Kerala,Food,5887.18,569.81494,2487.5212,43697.78,32356.13795753336,5.496033243663989,0.2595473492711175,0.7404526719099542,WATCHLIST,29.5,126118.3012,93762,5.5
141,Kerala,Clothing & Apparel,5515.2837,626.4695,2734.8462,41341.832,55612.97984828281,10.0834305105533,0.0,1.3451987286940454,OK,0.0,118555.8039,62943,10.1
142,Kerala,Electronics & Gadgets,6042.582,3216.2385,14040.455,56338.53,78846.34128750785,13.048451949802873,0.0,1.3995100917171224,OK,0.0,140934.677,62088,13.0
143,Kerala,Footwear & Shoes,5821.7446,554.007,2418.5117,43170.723,39927.68304467512,6.85837074447157,0.0751212722890422,0.9248787203465442,MONITOR,10.4,124675.1483,84747,6.9
144,Kerala,Home Decor,7275.4795,983.3185,4292.6665,55221.023,75185.07434877017,10.334037011513102,0.0,1.361529907708703,OK,0.0,157077.736,81893,10.3
145,Kerala,Games & Toys,7319.4966,706.6672,3084.9482,54321.426,69604.08111959814,9.50940824133593,0.0,1.281337517163083,OK,0.0,156794.37680000003,87190,9.5
146,Kerala,Sports Products,6162.1016,651.6594,2844.8123,45979.523,14868.988866894826,2.4129736772566908,0.6766171600907032,0.32338284298631864,REORDER NOW,75.6,132248.9459,117380,2.4
147,Kerala,Tupperware,6716.026,423.75845,1849.913,48862.094,16837.922152079806,2.507125859202612,0.655399086289056,0.3446009119478139,REORDER NOW,73.2,142886.459,126049,2.5
148,Kerala,Furniture,7103.639,272.42236,1189.257,50914.73,35955.67282905499,5.061584917027812,0.2938060852325724,0.7061939212690509,WATCHLIST,33.3,150365.676,114410,5.1
149,Kerala,Pet Care,6106.3535,477.56857,2084.8206,44829.297,29628.20439219816,4.8520290082100885,0.3390883538768829,0.6609116442802607,REORDER SOON,37.9,130318.24410000001,100690,4.9
150,Kerala,Food,6159.3296,1538.871,6717.925,49833.234,49471.69340241119,8.031993203284026,0.0072550172013355,0.9927449902691684,MONITOR,3.2,136063.8466,86592,8.0
151,Kerala,Clothing & Apparel,6563.354,443.37686,1935.5571,47879.035,42951.96035374995,6.544209001706541,0.1029067270553985,0.8970932758722048,MONITOR,13.3,139765.9911,96814,6.5
152,Kerala,Electronics & Gadgets,5910.9062,2733.4993,11933.0625,53309.406,85901.62021201746,14.532732643495647,0.0,1.6113783037090574,OK,0.0,136062.0927,50160,14.5
153,Kerala,Footwear & Shoes,5780.1323,639.0477,2789.756,43250.684,25306.829008969355,4.378243886032464,0.4148802537625936,0.5851197407414263,REORDER SOON,46.0,124172.5343,98866,4.4
