Store_ID,Store_Name,State,Region,Category,Priority,Action_Type,Recommendation,Current_Stock,Days_Supply,Decision
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Dairy & Eggs,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,409.32,5.3,REORDER SOON
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Dairy & Eggs,INFO,Category Insight,Short shelf-life — daily restocking recommended,409.32,5.3,REORDER SOON
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Electronics & Appliances,MEDIUM,Monitor,"Inventory watchlist — 7 days supply remaining, monitor closely",214.43,7.3,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Electronics & Appliances,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,214.43,7.3,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Electronics & Appliances,INFO,Category Insight,Festival-driven — stock up 1 month before Diwali,214.43,7.3,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Fresh Produce,HIGH,Reorder,Stock dropping (risk: 100%) — Plan order of 2375 units within 3 days,831.09,5.7,REORDER SOON
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Fresh Produce,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,831.09,5.7,REORDER SOON
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Fresh Produce,INFO,Category Insight,Perishable — order frequently (5-7 day max),831.09,5.7,REORDER SOON
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Groceries & Staples,INFO,Category Insight,Fast-moving — maintain 15-20 day buffer,4797.05,12.4,OK
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Health & Wellness,MEDIUM,Monitor,"Inventory watchlist — 8 days supply remaining, monitor closely",538.19,7.9,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Health & Wellness,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,538.19,7.9,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Health & Wellness,INFO,Category Insight,Growing category — review weekly trends,538.19,7.9,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Home Care,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1208.69,10.4,MONITOR
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Home Care,INFO,Category Insight,Festival peaks — pre-stock 2 weeks before festivals,1208.69,10.4,MONITOR
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Kitchen & Dining,HIGH,Reorder,Stock dropping (risk: 100%) — Plan order of 1546 units within 3 days,586.55,6.0,REORDER SOON
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Kitchen & Dining,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,586.55,6.0,REORDER SOON
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Kitchen & Dining,INFO,Category Insight,Wedding season (Nov-Feb) — increase stock 20%,586.55,6.0,REORDER SOON
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Personal Care,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,1927.97,11.0,MONITOR
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Personal Care,INFO,Category Insight,Steady demand — maintain 30-day inventory,1927.97,11.0,MONITOR
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Snacks & Beverages,MEDIUM,Discount,XGBoost recommends 5% discount — Moderate demand — ML suggests light promotion,3364.23,13.9,OK
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Snacks & Beverages,INFO,Category Insight,Weekend peaks — increase Thu-Fri stock,3364.23,13.9,OK
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1608.61,15.7,OK
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Clothing & Apparel,INFO,Category Insight,Seasonal — clearance for off-season items,1608.61,15.7,OK
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Dairy & Eggs,HIGH,Reorder,Stock dropping (risk: 97%) — Plan order of 2154 units within 3 days,913.24,6.7,REORDER SOON
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Dairy & Eggs,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,913.24,6.7,REORDER SOON
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Dairy & Eggs,INFO,Category Insight,Short shelf-life — daily restocking recommended,913.24,6.7,REORDER SOON
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Electronics & Appliances,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,487.23,9.5,MONITOR
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Electronics & Appliances,INFO,Category Insight,Festival-driven — stock up 1 month before Diwali,487.23,9.5,MONITOR
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Fresh Produce,MEDIUM,Discount,XGBoost recommends 5% discount — Moderate demand — ML suggests light promotion,2644.4,10.3,MONITOR
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Fresh Produce,INFO,Category Insight,Perishable — order frequently (5-7 day max),2644.4,10.3,MONITOR
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Groceries & Staples,HIGH,Reorder,Stock dropping (risk: 100%) — Plan order of 11023 units within 3 days,4237.38,6.2,REORDER SOON
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Groceries & Staples,INFO,Category Insight,Fast-moving — maintain 15-20 day buffer,4237.38,6.2,REORDER SOON
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Health & Wellness,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1011.37,8.5,MONITOR
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Health & Wellness,INFO,Category Insight,Growing category — review weekly trends,1011.37,8.5,MONITOR
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Home Care,CRITICAL,Reorder,ML predicts stockout risk 100% — Order 3610 units of Home Care immediately,972.5,4.8,REORDER NOW
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Home Care,MEDIUM,Discount,XGBoost recommends 5% discount — Moderate demand — ML suggests light promotion,972.5,4.8,REORDER NOW
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Home Care,INFO,Category Insight,Festival peaks — pre-stock 2 weeks before festivals,972.5,4.8,REORDER NOW
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Kitchen & Dining,MEDIUM,Monitor,"Inventory watchlist — 8 days supply remaining, monitor closely",1340.42,7.8,WATCHLIST
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Kitchen & Dining,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,1340.42,7.8,WATCHLIST
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Kitchen & Dining,INFO,Category Insight,Wedding season (Nov-Feb) — increase stock 20%,1340.42,7.8,WATCHLIST
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Personal Care,MEDIUM,Monitor,"Inventory watchlist — 7 days supply remaining, monitor closely",2247.75,7.3,WATCHLIST
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Personal Care,INFO,Category Insight,Steady demand — maintain 30-day inventory,2247.75,7.3,WATCHLIST
3,"Star Bazaar - Gomti Nagar, Lucknow",Delhi / NCR,North India,Snacks & Beverages,INFO,Category Insight,Weekend peaks — increase Thu-Fri stock,4636.2,10.9,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,341.15,8.4,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Clothing & Apparel,INFO,Category Insight,Seasonal — clearance for off-season items,341.15,8.4,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Dairy & Eggs,MEDIUM,Monitor,"Inventory watchlist — 8 days supply remaining, monitor closely",416.19,7.7,WATCHLIST
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Dairy & Eggs,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,416.19,7.7,WATCHLIST
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Dairy & Eggs,INFO,Category Insight,Short shelf-life — daily restocking recommended,416.19,7.7,WATCHLIST
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Electronics & Appliances,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,175.32,8.7,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Electronics & Appliances,INFO,Category Insight,Festival-driven — stock up 1 month before Diwali,175.32,8.7,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Fresh Produce,HIGH,Reorder,Stock dropping (risk: 99%) — Plan order of 1595 units within 3 days,665.72,6.6,REORDER SOON
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Fresh Produce,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,665.72,6.6,REORDER SOON
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Fresh Produce,INFO,Category Insight,Perishable — order frequently (5-7 day max),665.72,6.6,REORDER SOON
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Groceries & Staples,MEDIUM,Discount,XGBoost recommends 5% discount — Moderate demand — ML suggests light promotion,3015.33,11.2,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Groceries & Staples,INFO,Category Insight,Fast-moving — maintain 15-20 day buffer,3015.33,11.2,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Health & Wellness,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,517.71,11.0,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Health & Wellness,INFO,Category Insight,Growing category — review weekly trends,517.71,11.0,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Home Care,CRITICAL,Reorder,ML predicts stockout risk 100% — Order 1540 units of Home Care immediately,263.98,3.3,REORDER NOW
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Home Care,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,263.98,3.3,REORDER NOW
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Home Care,INFO,Category Insight,Festival peaks — pre-stock 2 weeks before festivals,263.98,3.3,REORDER NOW
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Kitchen & Dining,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,688.81,10.2,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Kitchen & Dining,INFO,Category Insight,Wedding season (Nov-Feb) — increase stock 20%,688.81,10.2,MONITOR
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Personal Care,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1539.25,12.7,OK
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Personal Care,INFO,Category Insight,Steady demand — maintain 30-day inventory,1539.25,12.7,OK
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Snacks & Beverages,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,2562.99,15.2,OK
4,"Decathlon - Sector 17, Chandigarh",Delhi / NCR,North India,Snacks & Beverages,INFO,Category Insight,Weekend peaks — increase Thu-Fri stock,2562.99,15.2,OK
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Monitor,"Inventory watchlist — 10 days supply remaining, monitor closely",626.11,10.0,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,626.11,10.0,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Clothing & Apparel,INFO,Category Insight,Seasonal — clearance for off-season items,626.11,10.0,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Dairy & Eggs,CRITICAL,Reorder,ML predicts stockout risk 100% — Order 1699 units of Dairy & Eggs immediately,308.39,3.7,REORDER NOW
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Dairy & Eggs,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,308.39,3.7,REORDER NOW
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Dairy & Eggs,INFO,Category Insight,Short shelf-life — daily restocking recommended,308.39,3.7,REORDER NOW
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Electronics & Appliances,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,404.31,12.9,MONITOR
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Electronics & Appliances,INFO,Category Insight,Festival-driven — stock up 1 month before Diwali,404.31,12.9,MONITOR
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Fresh Produce,MEDIUM,Monitor,"Inventory watchlist — 8 days supply remaining, monitor closely",1335.06,8.5,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Fresh Produce,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,1335.06,8.5,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Fresh Produce,INFO,Category Insight,Perishable — order frequently (5-7 day max),1335.06,8.5,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Groceries & Staples,INFO,Category Insight,Fast-moving — maintain 15-20 day buffer,5944.38,14.2,MONITOR
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Health & Wellness,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1153.21,15.8,OK
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Health & Wellness,INFO,Category Insight,Growing category — review weekly trends,1153.21,15.8,OK
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Home Care,MEDIUM,Monitor,"Inventory watchlist — 8 days supply remaining, monitor closely",1036.73,8.3,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Home Care,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1036.73,8.3,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Home Care,INFO,Category Insight,Festival peaks — pre-stock 2 weeks before festivals,1036.73,8.3,WATCHLIST
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Kitchen & Dining,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1583.94,15.2,OK
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Kitchen & Dining,INFO,Category Insight,Wedding season (Nov-Feb) — increase stock 20%,1583.94,15.2,OK
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Personal Care,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,2026.86,10.8,MONITOR
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Personal Care,INFO,Category Insight,Steady demand — maintain 30-day inventory,2026.86,10.8,MONITOR
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Snacks & Beverages,MEDIUM,Discount,XGBoost recommends 5% discount — Moderate demand — ML suggests light promotion,5201.16,19.9,OK
5,"Zudio - Saket, New Delhi",Delhi / NCR,North India,Snacks & Beverages,INFO,Category Insight,Weekend peaks — increase Thu-Fri stock,5201.16,19.9,OK
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Clothing & Apparel,HIGH,Reorder,Stock dropping (risk: 98%) — Plan order of 1226 units within 3 days,469.74,6.2,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,469.74,6.2,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Clothing & Apparel,INFO,Category Insight,Seasonal — clearance for off-season items,469.74,6.2,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Dairy & Eggs,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1491.86,14.7,OK
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Dairy & Eggs,INFO,Category Insight,Short shelf-life — daily restocking recommended,1491.86,14.7,OK
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Electronics & Appliances,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,345.91,9.1,MONITOR
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Electronics & Appliances,INFO,Category Insight,Festival-driven — stock up 1 month before Diwali,345.91,9.1,MONITOR
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Fresh Produce,HIGH,Reorder,Stock dropping (risk: 97%) — Plan order of 3007 units within 3 days,1232.48,6.5,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Fresh Produce,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,1232.48,6.5,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Fresh Produce,INFO,Category Insight,Perishable — order frequently (5-7 day max),1232.48,6.5,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Groceries & Staples,INFO,Category Insight,Fast-moving — maintain 15-20 day buffer,7228.38,14.3,OK
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Health & Wellness,HIGH,Reorder,Stock dropping (risk: 99%) — Plan order of 1421 units within 3 days,559.96,6.3,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Health & Wellness,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,559.96,6.3,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Health & Wellness,INFO,Category Insight,Growing category — review weekly trends,559.96,6.3,REORDER SOON
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Home Care,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,1843.81,12.1,MONITOR
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Home Care,INFO,Category Insight,Festival peaks — pre-stock 2 weeks before festivals,1843.81,12.1,MONITOR
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Kitchen & Dining,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1773.79,14.0,OK
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Kitchen & Dining,INFO,Category Insight,Wedding season (Nov-Feb) — increase stock 20%,1773.79,14.0,OK
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Personal Care,CRITICAL,Reorder,ML predicts stockout risk 100% — Order 3980 units of Personal Care immediately,1114.36,4.9,REORDER NOW
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Personal Care,MEDIUM,Discount,XGBoost recommends 5% discount — Moderate demand — ML suggests light promotion,1114.36,4.9,REORDER NOW
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Personal Care,INFO,Category Insight,Steady demand — maintain 30-day inventory,1114.36,4.9,REORDER NOW
6,"Max Fashion - Ludhiana, Punjab",Delhi / NCR,North India,Snacks & Beverages,INFO,Category Insight,Weekend peaks — increase Thu-Fri stock,4470.59,14.1,OK
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,728.36,13.8,OK
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Clothing & Apparel,INFO,Category Insight,Seasonal — clearance for off-season items,728.36,13.8,OK
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Dairy & Eggs,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,751.61,10.7,MONITOR
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Dairy & Eggs,INFO,Category Insight,Short shelf-life — daily restocking recommended,751.61,10.7,MONITOR
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Electronics & Appliances,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,339.87,12.8,OK
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Electronics & Appliances,INFO,Category Insight,Festival-driven — stock up 1 month before Diwali,339.87,12.8,OK
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Fresh Produce,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,1185.78,8.9,MONITOR
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Fresh Produce,INFO,Category Insight,Perishable — order frequently (5-7 day max),1185.78,8.9,MONITOR
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Groceries & Staples,INFO,Category Insight,Fast-moving — maintain 15-20 day buffer,4148.78,11.8,MONITOR
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Health & Wellness,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,864.38,14.0,OK
7,"Reliance Digital - Lajpat Nagar, New Delhi",Delhi / NCR,North India,Health & Wellness,INFO,Category Insight,Growing category — review weekly trends,864.38,14.0,OK
