Store,Region,Product_Category,Avg_Daily_Demand,Std_Daily_Demand,Safety_Stock,Reorder_Point,Current_Inventory,Days_Of_Supply,Stockout_Risk
17,Kerala,Tupperware,5113.668,1328.2345,5798.3936,41594.07,35047.784499565605,6.853746608842261,0.15738507349128275
18,Kerala,Furniture,6189.7803,913.99347,3990.029,47318.49,37730.24078205307,6.0955702973765735,0.20263216022892855
19,Kerala,Pet Care,6108.464,538.716,2351.759,45111.004,55840.76729885023,9.141540084866019,0.0
20,Kerala,Food,7264.3247,1359.4874,5934.828,56785.1,89088.43071997113,12.263828272122954,0.0
21,Kerala,Clothing & Apparel,5701.799,549.68396,2399.6396,42312.234,78960.66124244113,13.84837726174335,0.0
22,Kerala,Electronics & Gadgets,5747.517,583.36194,2546.6604,42779.28,41039.37620418007,7.140366102903707,0.040671675516285755
23,Kerala,Footwear & Shoes,4839.6343,633.99756,2767.7097,36645.152,26454.34593001616,5.466186991413681,0.27809425700127915
24,Kerala,Home Decor,7760.146,851.63885,3717.8206,58038.844,75556.68896591885,9.736503540519992,0.0
25,Kerala,Games & Toys,11133.626,1981.4457,8649.98,86585.36,77832.7371246513,6.990780657487303,0.10108663073674161
26,Kerala,Sports Products,6654.065,312.96756,1366.2566,47944.71,48121.201885027935,7.231850351442189,0.0
27,Kerala,Tupperware,8168.355,957.1583,4178.4644,61356.95,36764.033876306894,4.500787975573161,0.4008171145335855
28,Kerala,Furniture,5627.23,565.81915,2470.0774,41860.688,27265.04054540478,4.845197484381755,0.3486719360401145
29,Kerala,Pet Care,6887.9775,276.777,1208.2671,49424.11,44095.46379996103,6.401801334265488,0.10781470101177665
30,Kerala,Food,3940.2263,643.90765,2810.9722,30392.557,35868.415527585414,9.103135868226028,0.0
31,Kerala,Clothing & Apparel,5617.174,745.5341,3254.621,42574.84,43208.509801827226,7.692215182212036,0.0
32,Kerala,Electronics & Gadgets,5236.63,646.5193,2822.3733,39478.785,71535.5226168632,13.66060313936924,0.0
33,Kerala,Footwear & Shoes,8619.572,1888.8557,8245.779,68582.79,66256.03702940176,7.686696623408096,0.03392617980260107
34,Kerala,Home Decor,7560.0625,236.48956,1032.3927,53952.832,48081.95620099623,6.359994537213976,0.10881497058121621
35,Kerala,Games & Toys,7567.211,585.0775,2554.1497,55524.625,86028.40541448478,11.368575043701135,0.0
36,Kerala,Sports Products,6226.0244,674.8387,2946.001,46528.17,56032.21735054026,8.999678386095352,0.0
37,Kerala,Tupperware,6508.031,1206.5913,5267.362,50823.58,20597.412218879763,3.164922381749783,0.5947272313605967
38,Kerala,Furniture,6404.374,3193.756,13942.308,58772.926,67041.80308217404,10.468127382446326,0.0
39,Kerala,Pet Care,4305.9995,1204.5808,5258.585,35400.582,47116.69696996427,10.9421045779816,0.0
40,Kerala,Food,4380.46,938.5027,4097.0234,34760.242,35982.74122966594,8.214375099998623,0.0
41,Kerala,Clothing & Apparel,5781.117,580.41565,2533.7983,43001.617,42667.72689536143,7.380533123877526,0.007764598495975275
42,Kerala,Electronics & Gadgets,8831.955,713.64966,3115.4302,64939.117,58993.3255139339,6.679531880777866,0.09155947803230365
43,Kerala,Footwear & Shoes,6576.8115,623.698,2722.747,48760.426,56710.00878185271,8.622720687639854,0.0
44,Kerala,Home Decor,6456.2173,3767.1257,16445.348,61638.867,57851.97052571869,8.960660394551542,0.06143683092458379
45,Kerala,Games & Toys,5171.0503,852.08575,3719.7715,39917.125,63900.76353471828,12.357405152606287,0.0
46,Kerala,Sports Products,5728.395,567.10724,2475.7007,42574.465,57397.19850811694,10.019769640958474,0.0
47,Kerala,Tupperware,6875.573,615.56946,2687.262,50816.273,42952.72478082759,6.247148167555838,0.15474469347587932
48,Kerala,Furniture,5192.4385,3578.953,15623.881,51970.953,47167.3116193713,9.083846025768805,0.0924293517202779
49,Kerala,Pet Care,6659.822,805.94855,3518.3599,50137.113,38701.46344439844,5.811186055467449,0.22808752017097486
50,Kerala,Food,4064.4807,964.9124,4212.315,32663.68,57923.42970114976,14.251126722644749,0.0
51,Kerala,Clothing & Apparel,6640.9917,795.53503,3472.9,49959.84,37214.95964182504,5.6038256524553445,0.2551025031662377
52,Kerala,Electronics & Gadgets,5927.7495,775.0744,3383.5793,44877.824,88649.01074216086,14.954918484141057,0.0
53,Kerala,Footwear & Shoes,4734.5864,1038.5656,4533.847,37675.953,38243.618848758015,8.077499365205371,0.0
54,Kerala,Home Decor,6775.67,862.90967,3767.023,51196.71,45138.73051408804,6.661884512461169,0.11832753144645228
55,Kerala,Games & Toys,6014.9766,4279.7637,18683.264,60788.1,116839.71079633036,19.4247990133096,0.0
56,Kerala,Sports Products,6749.8604,789.7922,3447.8296,50696.85,40587.43503855296,6.0130777415502425,0.19940915880119234
57,Kerala,Tupperware,9359.633,2692.119,11752.417,77269.84,69141.43420977067,7.387195159774936,0.10519510776452594
58,Kerala,Furniture,6108.901,646.69806,2823.1536,45585.457,65110.03385117398,10.658223981992554,0.0
59,Kerala,Pet Care,5793.8247,512.77655,2238.5208,42795.293,26693.920481662444,4.607305507408142,0.3762416698220785
60,Kerala,Food,7301.743,374.77853,1636.0918,52748.297,52125.47938850537,7.1387719640777,0.011807347789266927
61,Kerala,Clothing & Apparel,5753.141,570.0663,2488.6184,42760.605,73542.99387793492,12.783102731160085,0.0
62,Kerala,Electronics & Gadgets,6064.1597,819.9763,3579.5981,46028.715,70545.72208804516,11.633223059853098,0.0
63,Kerala,Footwear & Shoes,6107.726,556.9814,2431.4963,45185.58,65329.018466704176,10.69612776880478,0.0
64,Kerala,Home Decor,10259.513,1257.2917,5488.694,77305.28,92856.54752240251,9.050775634287975,0.0
65,Kerala,Games & Toys,4908.996,932.6088,4071.2942,38434.266,64189.66881413414,13.075925828472073,0.0
66,Kerala,Sports Products,6068.8555,531.32574,2319.4968,44801.484,65524.86163922811,10.796905936651717,0.0
67,Kerala,Tupperware,8324.798,3019.434,13181.309,71454.89,59787.553954787974,7.181862553403182,0.1632825488662908
68,Kerala,Furniture,8021.254,1714.186,7483.261,63632.04,48086.79349990948,5.994922248059149,0.24429903224257565
69,Kerala,Pet Care,6136.386,828.45825,3616.6257,46571.33,24079.078665457375,3.923983556624663,0.4829634533756949
70,Kerala,Food,6148.2783,557.68854,2434.5835,45472.53,37506.60775203568,6.100343185200718,0.1751810000232684
71,Kerala,Clothing & Apparel,7263.0864,954.5608,4167.125,55008.73,87605.01159576261,12.061678253586171,0.0
72,Kerala,Electronics & Gadgets,4624.6475,1334.2948,5824.85,38197.383,26742.1717546889,5.782531961748232,0.2998951816683736
73,Kerala,Footwear & Shoes,5602.6724,2881.6704,12579.902,51798.61,45587.577925538586,8.136755992427846,0.11990730107243182
74,Kerala,Home Decor,7157.3486,3502.7634,15291.277,65392.72,95765.71940799565,13.380055146253822,0.0
75,Kerala,Games & Toys,6086.823,930.3524,4061.4436,46669.207,56809.94334174884,9.333266480945538,0.0
76,Kerala,Sports Products,7593.236,926.2986,4043.7468,57196.4,40224.645387842174,5.297431323912349,0.29672765267210494
77,Kerala,Tupperware,5954.8135,656.17896,2864.5425,44548.24,56888.9053506512,9.55343195459602,0.0
78,Kerala,Furniture,5789.182,421.65186,1840.7167,42364.99,56604.71011315902,9.777669600429956,0.0
79,Kerala,Pet Care,4881.9995,590.35986,2577.2097,36751.207,48868.495915577216,10.009934617624047,0.0
80,Kerala,Food,7437.378,473.77618,2068.265,54129.91,55785.974028798904,7.500758272094812,0.0
81,Kerala,Clothing & Apparel,6139.09,486.3801,2123.287,45096.914,87163.74284332221,14.198153970993056,0.0
82,Kerala,Electronics & Gadgets,8026.7056,1313.7327,5735.0864,61922.023,76159.75706931856,9.488295844320739,0.0
83,Kerala,Footwear & Shoes,4119.1943,853.6061,3726.4082,32560.768,29671.868344817656,7.203318397956708,0.08872331484126825
84,Kerala,Home Decor,11797.272,942.4997,4114.4727,86695.375,62706.815785966675,5.315365563828261,0.2766994111742792
85,Kerala,Games & Toys,7300.7583,2137.5925,9331.638,60436.945,118596.59727751561,16.244421797229563,0.0
86,Kerala,Sports Products,5768.9697,496.65195,2168.129,42550.918,53508.99479632928,9.27531211508249,0.0
87,Kerala,Tupperware,6983.037,3589.1023,15668.1875,64549.445,94759.99192999641,13.570025541290253,0.0
88,Kerala,Furniture,5143.7324,1044.3501,4559.099,40565.223,41476.127293889964,8.063430188845444,0.0
89,Kerala,Pet Care,6091.1587,456.64944,1993.4983,44631.61,44546.536663308856,7.313310803436729,0.0019061089860406568
90,Kerala,Food,9025.09,2754.05,12022.776,75198.41,52597.01448765263,5.827866026627624,0.30055679221722026
91,Kerala,Clothing & Apparel,6091.7275,456.27484,1991.8629,44633.957,51896.18410065869,8.519124298957955,0.0
92,Kerala,Electronics & Gadgets,5434.2036,631.98676,2758.9314,40798.355,59269.53517009827,10.906756424297924,0.0
93,Kerala,Footwear & Shoes,5783.701,565.55396,2468.92,42954.83,42890.32625090247,7.415723077027161,0.0015016210496716623
94,Kerala,Home Decor,6222.106,700.6147,3058.526,46613.27,54356.97666642438,8.73610591683972,0.0
95,Kerala,Games & Toys,7501.129,2207.722,9637.787,62145.688,58532.61059627089,7.803173539319002,0.05813881942699741
96,Kerala,Sports Products,5911.745,539.84766,2356.6992,43738.914,17864.580291044185,3.021879315991759,0.5915632412474419
97,Kerala,Tupperware,6329.808,514.2186,2244.816,46553.473,65899.06318426484,10.41091010757975,0.0
98,Kerala,Furniture,5169.6426,737.99164,3221.6946,39409.195,42941.605197264886,8.306494027066677,0.0
99,Kerala,Pet Care,5837.9165,502.15042,2192.1323,43057.547,41707.284173363696,7.14420703781163,0.031359489790633924
100,Kerala,Food,7519.059,702.72284,3067.7292,55701.145,73371.02761334857,9.758006528860474,0.0
101,Kerala,Clothing & Apparel,6121.6978,509.3232,2223.445,45075.33,53645.91716858545,8.76324172233986,0.0
102,Kerala,Electronics & Gadgets,6003.1865,598.74396,2613.8103,44636.113,58701.75611731326,9.778432818659098,0.0
103,Kerala,Footwear & Shoes,5788.0938,584.7343,2552.6514,43069.31,54300.02795163034,9.381331798855252,0.0
104,Kerala,Home Decor,11019.859,2128.0188,9289.844,86428.86,136070.23165665427,12.34772849872726,0.0
105,Kerala,Games & Toys,5995.345,456.61572,1993.3512,43960.77,70559.84618209857,11.769104806075372,0.0
106,Kerala,Sports Products,8681.067,1656.4297,7231.126,67998.6,60877.73036481579,7.012701051641022,0.10472084769477438
107,Kerala,Tupperware,7315.7114,405.9138,1772.0125,52981.992,74284.0518694829,10.154043475211305,0.0
108,Kerala,Furniture,8706.984,356.43442,1556.0106,62504.902,39537.02605237544,4.540840358677621,0.36745719823800616
109,Kerala,Pet Care,5978.8228,382.29614,1668.9098,43520.668,46213.59206801827,7.729547098184961,0.0
110,Kerala,Food,4685.181,834.18243,3641.6147,36437.883,20369.91617915944,4.347732887333383,0.44096872247002367
111,Kerala,Clothing & Apparel,6138.3965,634.275,2768.9211,45737.695,72762.60093566969,11.853682166162363,0.0
112,Kerala,Electronics & Gadgets,7502.9844,2034.9783,8883.676,61404.566,72731.75255665665,9.693709718895242,0.0
113,Kerala,Footwear & Shoes,6188.919,952.6392,4158.737,47481.17,82966.98065102921,13.405730691281484,0.0
114,Kerala,Home Decor,6146.612,521.87305,2278.2312,45304.51,67442.04624100089,10.97223124795155,0.0
115,Kerala,Games & Toys,6224.0225,589.9842,2575.5698,46143.727,40932.4428729487,6.576525571661128,0.11293590868723635
116,Kerala,Sports Products,7988.0557,3113.8867,13593.64,69510.03,84076.35596649937,10.525259149701581,0.0
117,Kerala,Tupperware,3972.7153,901.2245,3934.2861,31743.293,18037.14691574721,4.540256577237517,0.43178085104453223
118,Kerala,Furniture,6582.599,271.92682,1187.0936,47265.29,31287.844752910903,4.75311410847577,0.33803758797416317
119,Kerala,Pet Care,6697.138,324.2962,1415.7117,48295.68,45696.930809510326,6.8233519388111095,0.05380913768695315
120,Kerala,Food,6091.8467,522.0288,2278.9114,44921.836,52846.08363264136,8.67488733898212,0.0
121,Kerala,Clothing & Apparel,5677.0464,548.92334,2396.319,42135.645,47566.338408095624,8.378712303527305,0.0
122,Kerala,Electronics & Gadgets,6141.639,1345.8201,5875.163,48866.637,79389.5038746309,12.926435729026311,0.0
123,Kerala,Footwear & Shoes,6947.5845,1425.769,6224.1797,54857.27,58166.35252601667,8.372169169722682,0.0
124,Kerala,Home Decor,5518.814,2974.831,12986.594,51618.293,47683.506415003736,8.640172819515174,0.07622852921789579
125,Kerala,Games & Toys,11947.017,1982.5713,8654.895,92284.016,142182.50604064047,11.901088847741704,0.0
126,Kerala,Sports Products,6026.152,429.53403,1875.1263,44058.188,42598.65685205934,7.068965049959858,0.03312734206191885
127,Kerala,Tupperware,5728.914,564.2075,2463.042,42565.44,34561.43115342666,6.032806702348166,0.1880401092621605
128,Kerala,Furniture,6409.4233,717.4136,3131.8616,47997.83,65901.36072596026,10.281948504834885,0.0
129,Kerala,Pet Care,6149.412,536.1903,2340.7332,45386.617,15766.1823151084,2.5638519641694346,0.6526248640656438
130,Kerala,Food,5774.5205,489.89795,2138.6443,42560.29,64525.80595931886,11.174227517595652,0.0
131,Kerala,Clothing & Apparel,6428.813,4070.8037,17771.05,62772.742,116740.43672002346,18.15894115022844,0.0
132,Kerala,Electronics & Gadgets,5784.0596,531.4963,2320.2415,42808.66,56297.56393516754,9.733226854046025,0.0
133,Kerala,Footwear & Shoes,5389.0376,863.3752,3769.0554,41492.316,19344.244408501523,3.5895545462355916,0.5337873109058887
134,Kerala,Home Decor,5994.606,3098.1892,13525.112,55487.355,67002.61176027333,11.17715029820834,0.0
135,Kerala,Games & Toys,6221.7266,576.822,2518.1106,46070.195,56063.66896947338,9.01095032163323,0.0
136,Kerala,Sports Products,5569.0166,598.9185,2614.5725,41597.69,45230.03241361159,8.121726985141576,0.0
137,Kerala,Tupperware,6254.285,515.4385,2250.141,46030.137,59635.35205676581,9.535118813246198,0.0
138,Kerala,Furniture,6215.548,1677.725,7324.0903,50832.926,43127.041285283005,6.9385744129443845,0.15159238579199297
139,Kerala,Pet Care,6067.7266,514.5964,2246.465,44720.55,39181.0858867439,6.457292609210898,0.12386844074444252
140,Kerala,Food,5887.18,569.81494,2487.5212,43697.78,32356.13795753336,5.496033243663989,0.2595473492711175
141,Kerala,Clothing & Apparel,5515.2837,626.4695,2734.8462,41341.832,55612.97984828281,10.083430510553299,0.0
142,Kerala,Electronics & Gadgets,6042.582,3216.2385,14040.455,56338.53,78846.34128750785,13.048451949802871,0.0
143,Kerala,Footwear & Shoes,5821.7446,554.007,2418.5117,43170.723,39927.68304467512,6.85837074447157,0.07512127228904224
144,Kerala,Home Decor,7275.4795,983.3185,4292.6665,55221.023,75185.07434877017,10.334037011513102,0.0
145,Kerala,Games & Toys,7319.4966,706.6672,3084.9482,54321.426,69604.08111959814,9.50940824133593,0.0
146,Kerala,Sports Products,6162.1016,651.6594,2844.8123,45979.523,14868.988866894826,2.4129736772566908,0.6766171600907032
147,Kerala,Tupperware,6716.026,423.75845,1849.913,48862.094,16837.922152079806,2.5071258592026116,0.655399086289056
148,Kerala,Furniture,7103.639,272.42236,1189.257,50914.73,35955.67282905499,5.061584917027812,0.2938060852325724
149,Kerala,Pet Care,6106.3535,477.56857,2084.8206,44829.297,29628.204392198157,4.8520290082100885,0.33908835387688296
150,Kerala,Food,6159.3296,1538.871,6717.925,49833.234,49471.69340241119,8.031993203284026,0.007255017201335517
151,Kerala,Clothing & Apparel,6563.354,443.37686,1935.5571,47879.035,42951.96035374995,6.544209001706541,0.10290672705539855
152,Kerala,Electronics & Gadgets,5910.9062,2733.4993,11933.0625,53309.406,85901.62021201746,14.532732643495649,0.0
153,Kerala,Footwear & Shoes,5780.1323,639.0477,2789.756,43250.684,25306.829008969355,4.378243886032464,0.41488025376259363
154,Kerala,Home Decor,7523.854,736.5411,3215.3623,55882.34,86488.77828052186,11.4952759896216,0.0
155,Kerala,Games & Toys,6095.765,462.50696,2019.0692,44689.426,58624.24695981208,9.617208938494068,0.0
156,Kerala,Sports Products,5582.5723,785.8895,3430.7922,42508.8,36311.96736529277,6.504522581621689,0.14577765785127875
157,Kerala,Tupperware,8400.462,321.96313,1405.5266,60208.76,71272.47722077412,8.484352164190271,0.0
158,Kerala,Furniture,6198.801,649.5527,2835.6152,46227.22,38455.21633643837,6.203654173361545,0.16812610889686355
159,Kerala,Pet Care,6693.9624,423.03452,1846.7528,48704.492,44878.0644934723,6.704260017618144,0.07856416363601364
160,Kerala,Food,5265.436,804.08673,3510.232,40368.28,71217.74393135573,13.525516871888534,0.0
161,Kerala,Clothing & Apparel,7069.2275,284.38553,1241.482,50726.074,33901.18143685722,4.7955991301070915,0.3316813500949725
162,Kerala,Electronics & Gadgets,6231.7114,604.7802,2640.1616,46262.14,75330.85638410634,12.08830949271088,0.0
163,Kerala,Footwear & Shoes,7861.808,1982.8964,8656.313,63688.97,42100.63339583118,5.355082804240105,0.33896506377595914
164,Kerala,Home Decor,5837.2563,536.81006,2343.4387,43204.23,26488.03458389252,4.537754212992184,0.3869110895737039
165,Kerala,Games & Toys,5702.536,577.8482,2522.5903,42440.344,40354.59034928862,7.076604059917753,0.049145535036138326
166,Kerala,Sports Products,5655.774,935.79614,4085.2083,43675.625,17080.753698436405,3.020055950358197,0.6089179330934267
167,Kerala,Tupperware,9134.122,2861.145,12490.298,76429.16,73767.87522760854,8.076077225567971,0.03482023291852652
168,Kerala,Furniture,6270.5293,572.00256,2497.071,46390.773,60641.54911153512,9.670882032519428,0.0
169,Kerala,Pet Care,5768.5474,518.6214,2264.0361,42643.867,58117.527621449924,10.074898230252488,0.0
170,Kerala,Food,5775.4775,531.9687,2322.3037,42750.65,75034.13730450139,12.991849902801501,0.0
171,Kerala,Clothing & Apparel,7144.493,288.93427,1261.3395,51272.793,100858.92622675629,14.117016268429866,0.0
172,Kerala,Electronics & Gadgets,7078.8203,593.6007,2591.3577,52143.1,55156.383697276186,7.791747955500345,0.0
173,Kerala,Footwear & Shoes,8934.761,3714.837,16217.082,78760.41,81795.39532011336,9.154738182735867,0.0
174,Kerala,Home Decor,6191.809,561.5059,2451.248,45793.914,22958.931837231907,3.7079521563187683,0.49864665846432515
175,Kerala,Games & Toys,5654.5063,493.89395,2156.0889,41737.633,53258.8621806526,9.418834979772901,0.0
176,Kerala,Sports Products,5015.6675,619.211,2703.1592,37812.832,29978.876350956096,5.977046219211158,0.20717717397680283
177,Kerala,Tupperware,5677.912,516.40894,2254.3777,41999.76,37510.30758655332,6.606355798396162,0.10689237149153755
178,Kerala,Furniture,9721.16,2172.7493,9485.114,77533.24,68280.26564706051,7.023880334196661,0.11934205612171939
179,Kerala,Pet Care,8243.923,4023.6802,17565.334,75272.8,49654.462402243385,6.023159519600817,0.34033987756957007
180,Kerala,Food,6678.5625,422.64542,1845.0541,48594.992,47617.165331940276,7.12985246929115,0.02012196754321629
181,Kerala,Clothing & Apparel,6101.137,596.9096,2605.8025,45313.76,24555.83361404976,4.02479616189428,0.45809324402460705
182,Kerala,Electronics & Gadgets,5729.2866,533.1597,2327.5032,42432.51,53896.38500309493,9.407172056057101,0.0
183,Kerala,Footwear & Shoes,6611.6094,409.67334,1788.4247,48069.69,44492.46467672647,6.729445457706955,0.07441750976288604
184,Kerala,Home Decor,5960.5635,351.87466,1536.1052,43260.05,43319.29213270998,7.267650500333659,0.0
185,Kerala,Games & Toys,7629.1553,2943.9524,12851.794,66255.88,127124.7143227249,16.66301310779926,0.0
186,Kerala,Sports Products,4094.1848,530.2529,2314.8135,30974.105,13063.041647355225,3.190633114861011,0.5782592765904209
187,Kerala,Tupperware,5578.02,821.13464,3584.6548,42630.797,35324.304387616736,6.332767588486572,0.17139000494893433
188,Kerala,Furniture,5754.735,504.49097,2202.35,42485.496,45624.82104218125,7.928222954856823,0.0
189,Kerala,Pet Care,6682.0645,431.7333,1884.7272,48659.18,24186.376960621117,3.61959647804802,0.5029431832605611
190,Kerala,Food,6065.652,460.43173,2010.0099,44469.574,71630.70058549789,11.809233746397124,0.0
191,North-India,Clothing & Apparel,5869.4185,533.8187,2330.3801,43416.31,84614.56435692219,14.416175124736329,0.0
192,North-India,Electronics & Gadgets,6488.381,613.1273,2676.6008,48095.266,48950.36806293858,7.54431176650345,0.0
193,North-India,Footwear & Shoes,6676.887,4668.479,20380.195,67118.41,120185.04267090706,18.000160695292774,0.0
194,North-India,Home Decor,5354.9365,882.4453,3852.306,41336.86,44865.30746964891,8.378307991753463,0.0
195,North-India,Games & Toys,11082.224,3026.5063,13212.182,90787.74,170719.71653552688,15.404825077708779,0.0
196,North-India,Sports Products,5752.1494,598.9137,2614.5515,42879.598,33466.68637033359,5.818118404316185,0.21951958041622183
197,North-India,Tupperware,6606.6035,434.39172,1896.3325,48142.56,44364.52755982449,6.715179358788493,0.07847590872363777
198,North-India,Furniture,2837.998,1135.6515,4957.675,24823.66,30462.577500069834,10.733826097453816,0.0
199,North-India,Pet Care,6264.5454,611.5746,2669.8223,46521.64,20139.756082083608,3.214879095525829,0.5670884385951596
200,North-India,Food,8623.574,2571.0542,11223.91,71588.93,66770.58223273541,7.74279672662386,0.06730576187963194
201,North-India,Clothing & Apparel,5187.425,983.9552,4295.446,40607.418,78565.3447074689,15.145346229688977,0.0
202,North-India,Electronics & Gadgets,6582.0034,439.2762,1917.6556,47991.68,42650.49099356123,6.479864607351336,0.11129405615136129
203,North-India,Footwear & Shoes,8232.676,4086.9202,17841.406,75470.14,56729.396038803585,6.890760373195473,0.24831999027690185
204,North-India,Home Decor,6245.66,587.32635,2563.967,46283.59,78026.15345238987,12.492859281546004,0.0
205,North-India,Games & Toys,7561.1855,4319.7207,18857.695,71785.99,143520.5701260544,18.981225792742347,0.0
206,North-India,Sports Products,5880.3013,601.71466,2626.779,43788.887,39958.72770389493,6.795353821570481,0.08746874611030082
207,North-India,Tupperware,6873.7686,435.8159,1902.5497,50018.93,72453.25494087473,10.540543279052644,0.0
208,North-India,Furniture,4972.0996,5378.1753,23478.367,58283.062,65301.1608792829,13.133518233656496,0.0
209,North-India,Pet Care,6165.5854,613.26434,2677.199,45836.297,63638.37984127547,10.32154697480337,0.0
210,North-India,Food,5777.083,490.75644,2142.392,42581.973,73983.91038307133,12.806447524299193,0.0
211,North-India,Clothing & Apparel,13384.418,2334.122,10189.585,103880.51,89613.24189614791,6.695340963303546,0.13734305132685634
212,North-India,Electronics & Gadgets,4641.3516,928.55334,4053.5898,36543.05,45361.85124526862,9.77341419507448,0.0
213,North-India,Footwear & Shoes,6346.2173,644.266,2812.5364,47236.055,49146.495344637566,7.74421882143727,0.0
214,North-India,Home Decor,6250.359,701.0852,3060.58,46813.094,79328.82218208579,12.691882757428514,0.0
215,North-India,Games & Toys,5811.1978,1039.4578,4537.7417,45216.125,83232.53538139499,14.322784889818388,0.0
216,North-India,Sports Products,6593.3433,595.93243,2601.5369,48754.938,31566.324783701606,4.787605245274748,0.3525512204030288
217,North-India,Tupperware,4887.981,611.9134,2671.3015,36887.168,35393.05524657024,7.240833292457519,0.04050494533615422
218,North-India,Furniture,5780.724,476.9152,2081.9683,42547.04,46839.654735938675,8.102731380143481,0.0
219,North-India,Pet Care,4719.6235,4154.2847,18135.486,51172.85,64081.996297413425,13.577777087530329,0.0
220,North-India,Food,6792.585,4946.316,21593.09,69141.19,68380.8801219233,10.066989300121392,0.010996446627080289
221,North-India,Clothing & Apparel,6250.123,561.7889,2452.4834,46203.344,41782.81792297765,6.685119254391103,0.0956754526456183
222,North-India,Electronics & Gadgets,6093.411,426.64105,1862.497,44516.375,40846.64633932772,6.703412169149725,0.0824354781958836
223,North-India,Footwear & Shoes,6108.84,487.3135,2127.362,44889.242,71685.12512666303,11.734654526915552,0.0
224,North-India,Home Decor,6192.0303,655.4486,2861.3542,46205.566,29784.91404101643,4.810201618165113,0.35538255760917214
225,North-India,Games & Toys,5700.3022,689.5155,3010.0728,42912.19,72652.36447383525,12.745353024678959,0.0
226,North-India,Sports Products,8295.587,4033.6985,17609.068,75678.18,109133.44869487525,13.155603072505283,0.0
227,North-India,Tupperware,6161.415,440.61914,1923.5182,45053.426,17026.028895133753,2.7633309535538735,0.6220924691098736
228,North-India,Furniture,6212.8364,658.3873,2874.183,46364.04,50618.709959036925,8.14743967006531,0.0
229,North-India,Pet Care,6774.69,706.5894,3084.609,50507.438,25574.556595019407,3.775015065812856,0.49364771089367965
230,North-India,Food,6836.279,407.9416,1780.8647,49634.816,49184.25649097764,7.19459487655025,0.009077497367666793
231,North-India,Clothing & Apparel,5734.619,593.52136,2591.0112,42733.348,56241.53848993333,9.80737118032981,0.0
232,North-India,Electronics & Gadgets,4173.091,865.0326,3776.2905,32987.926,19973.196829267705,4.786187909462277,0.3945300786198487
233,North-India,Footwear & Shoes,10339.82,1935.3096,8448.573,80827.31,81630.15268598495,7.89473609974641,0.0
234,North-India,Home Decor,6671.2637,499.7323,2181.5762,48880.42,52897.332967755065,7.929132405718262,0.0
235,North-India,Games & Toys,6183.835,524.12744,2288.0728,45574.918,73224.40904562705,11.841261855818653,0.0
236,North-India,Sports Products,6938.677,4886.929,21333.838,69904.58,60715.07484238742,8.750238260346425,0.13145781762934547
237,North-India,Tupperware,6240.2363,3603.9644,15733.068,59414.727,63398.32385204773,10.159603021172275,0.0
238,North-India,Furniture,6402.0884,692.52826,3023.2249,47837.844,55126.04936230815,8.6106354832493,0.0
239,North-India,Pet Care,6680.513,4667.002,20373.748,67137.34,60608.02805559185,9.072361118070281,0.09725311324084294
240,North-India,Food,6426.527,4056.5642,17708.889,62694.58,57901.15562861311,9.009711922286803,0.07645673102432876
241,North-India,Clothing & Apparel,8019.6562,4446.511,19411.2,75548.8,103811.81493610745,12.94467140485073,0.0
